vnum	rarity	bonus_type0	bonus_value0	bonus_type1	bonus_value1
329	1	117	2	0	0
339	2	117	4	0	0
349	3	117	7	0	0
359	4	117	10	0	0
369	1	117	2	0	0
379	2	117	4	0	0
389	3	117	7	0	0
399	4	117	10	0	0
409	1	63	2	0	0
419	2	63	4	0	0
429	3	63	7	0	0
439	4	63	10	0	0
449	1	63	2	0	0
459	2	63	4	0	0
529	1	71	1	0	0
539	2	71	2	0	0
549	3	71	3	0	0
559	4	71	5	0	0
569	1	71	1	0	0
579	2	71	2	0	0
589	3	71	3	0	0
599	4	71	5	0	0
609	3	63	7	0	0
619	4	63	10	0	0
629	1	63	2	0	0
639	2	63	4	0	0
649	3	63	7	0	0
659	4	63	10	0	0
669	1	63	2	0	0
679	2	63	4	0	0
689	3	63	7	0	0
699	4	63	10	0	0
709	1	63	2	0	0
719	2	63	4	0	0
729	3	63	7	0	0
739	4	63	10	0	0
749	1	63	2	0	0
759	2	63	4	0	0
769	3	63	7	0	0
779	4	63	10	0	0
1199	1	117	2	0	0
1209	2	117	4	0	0
1219	3	117	7	0	0
1229	4	117	10	0	0
1519	1	71	1	0	0
1529	2	71	2	0	0
1539	3	71	3	0	0
1549	4	71	5	0	0
2219	1	117	2	0	0
2229	2	117	4	0	0
2239	3	117	7	0	0
2249	4	117	10	0	0
2519	1	71	1	0	0
2529	2	71	2	0	0
2539	3	71	3	0	0
2549	4	71	5	0	0
3239	1	117	2	0	0
3249	2	117	4	0	0
3259	3	117	7	0	0
3269	4	117	10	0	0
3519	1	71	1	0	0
3529	2	71	2	0	0
3539	3	71	3	0	0
3549	4	71	5	0	0
5179	1	117	2	0	0
5189	2	117	4	0	0
5199	3	117	7	0	0
5209	4	117	10	0	0
5519	1	71	1	0	0
5529	2	71	2	0	0
5539	3	71	3	0	0
5549	4	71	5	0	0
7319	1	117	2	0	0
7329	2	117	4	0	0
7339	3	117	7	0	0
7349	4	117	10	0	0
7519	1	71	1	0	0
7529	2	71	2	0	0
7539	3	71	3	0	0
7549	4	71	5	0	0
12100	1	71	2	0	0
12101	2	71	4	0	0
12102	3	71	7	0	0
12103	4	71	10	0	0
12104	1	71	2	0	0
12105	2	71	4	0	0
12106	3	71	7	0	0
12107	4	71	10	0	0
12108	1	71	2	0	0
12109	2	71	4	0	0
12110	3	71	7	0	0
12111	4	71	10	0	0
12112	1	71	2	0	0
12113	2	71	4	0	0
12114	3	71	7	0	0
12115	4	71	10	0	0
12790	1	117	2	0	0
12791	2	117	4	0	0
12792	3	117	7	0	0
12793	4	117	10	0	0
12810	1	117	2	0	0
12811	2	117	4	0	0
12812	3	117	7	0	0
12813	4	117	10	0	0
12830	1	117	2	0	0
12831	2	117	4	0	0
12832	3	117	7	0	0
12833	4	117	10	0	0
12850	1	117	2	0	0
12851	2	117	4	0	0
12852	3	117	7	0	0
12853	4	117	10	0	0
12854	1	64	2	0	0
12855	2	64	4	0	0
12856	3	64	7	0	0
12857	4	64	10	0	0
12858	1	64	2	0	0
12859	2	64	4	0	0
12860	3	64	7	0	0
12861	4	64	10	0	0
12862	1	64	2	0	0
12863	2	64	4	0	0
12864	3	64	7	0	0
12865	4	64	10	0	0
12866	1	64	2	0	0
12867	2	64	4	0	0
12868	3	64	7	0	0
12869	4	64	10	0	0
13070	1	59	1	0	0
13071	2	59	3	0	0
13072	3	59	6	0	0
13073	4	59	10	0	0
13090	1	60	1	0	0
13091	2	60	3	0	0
13092	3	60	6	0	0
13093	4	60	10	0	0
13110	1	61	1	0	0
13111	2	61	3	0	0
13112	3	61	6	0	0
13113	4	61	10	0	0
13130	1	62	1	0	0
13131	2	62	3	0	0
13132	3	62	6	0	0
13133	4	62	10	0	0
13150	1	1	300	0	0
13151	2	1	600	0	0
13152	3	1	1000	0	0
13153	4	1	1500	0	0
13170	1	117	2	0	0
13171	2	117	4	0	0
13172	3	117	7	0	0
13173	4	117	10	0	0
14230	1	116	2	0	0
14231	2	116	4	0	0
14232	3	116	7	0	0
14233	4	116	10	0	0
15010	1	73	1	0	0
15011	2	73	2	0	0
15012	3	73	3	0	0
15013	4	73	5	0	0
15460	1	117	2	0	0
15461	2	117	4	0	0
15462	3	117	7	0	0
15463	4	117	10	0	0
15464	1	90	2	0	0
15465	2	90	4	0	0
15466	3	90	7	0	0
15467	4	90	10	0	0
16230	1	116	2	0	0
16231	2	116	4	0	0
16232	3	116	7	0	0
16233	4	116	10	0	0
16590	1	0	0	0	0
16591	2	0	0	0	0
16592	3	0	0	0	0
16593	4	0	0	0	0
17230	1	116	2	0	0
17231	2	116	4	0	0
17232	3	116	7	0	0
17233	4	116	10	0	0
17580	1	0	0	0	0
17581	2	0	0	0	0
17582	3	0	0	0	0
17583	4	0	0	0	0
18090	0	119	5	0	0
18091	0	119	5	0	0
18092	0	119	5	0	0
18093	0	119	5	0	0
18094	0	119	5	0	0
18095	0	119	5	0	0
18096	0	119	5	0	0
18097	0	119	5	0	0
18098	0	119	5	0	0
18099	0	119	5	0	0
19309	1	117	2	0	0
19310	2	117	4	0	0
19311	3	117	7	0	0
19312	4	117	10	0	0
19509	1	117	2	0	0
19510	2	117	4	0	0
19511	3	117	7	0	0
19512	4	117	10	0	0
19709	1	117	2	0	0
19710	2	117	4	0	0
19711	3	117	7	0	0
19712	4	117	10	0	0
19909	1	117	2	0	0
19910	2	117	4	0	0
19911	3	117	7	0	0
19912	4	117	10	0	0
40004	0	119	12	0	0
49010	0	1	3000	0	0
49020	0	1	3000	0	0
53025	0	1	3000	0	0
53026	0	1	3000	0	0
53027	0	1	3000	0	0
53028	0	1	3000	0	0
53248	0	1	3000	0	0
53249	0	1	3000	0	0
53250	0	1	3000	0	0
71136	0	119	5	0	0
71188	0	119	8	0	0
71234	0	119	8	0	0
71235	0	119	8	0	0
