TELEPORT_PANEL_TITLE	teleport
TELEPORT_PANEL_TAB_EMPIRES	kr·lovstvÌ
TELEPORT_PANEL_TAB_NEUTRAL	neutr·lnÌ
TELEPORT_PANEL_TAB_DUNGEONS	mapy
TELEPORT_PANEL_INFO_TITLE	Popis
TELEPORT_PANEL_INFO_BOSS	äÈfovÈ : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Na tÈto mape nenÌ û·dn˝ boss
TELEPORT_PANEL_INFO_MINLV	Min. ˙roven:
TELEPORT_PANEL_INFO_MINLV_EMPTY	Minim·lnÌ ˙roven: é·dn· minim·lnÌ ˙roven
TELEPORT_PANEL_INFO_MAXLV	Max. ⁄roven :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Minim·lnÌ ˙roven: é·dn· maxim·lnÌ ˙roven
TELEPORT_PANEL_INFO_COST	N·klady :
TELEPORT_PANEL_INFO_COST_EMPTY	Cena: é·dnÈ n·klady
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Poûadovan˝ prvek
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	NenÌ vyûadov·na û·dn· poloûka
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Cechy - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	vesnice Andra
TELEPORT_MAP_SEUNGRYONG	⁄dolÌ skretu
TELEPORT_MAP_YONGBI	pouöt yongbi
TELEPORT_MAP_SOHAN	Hora Sohan
TELEPORT_MAP_DOYYUMHWAN	Ohniv· zeme
TELEPORT_MAP_SNAKEFIELD	hadÌ pole
TELEPORT_MAP_GHOSTWOOD	Les duchu
TELEPORT_MAP_REDWOOD	CervenÈ drevo
TELEPORT_MAP_LAND_OF_GIANTS	Zeme obru
TELEPORT_MAP_SPIDERDUNGEON_01	Spider Dungeon
TELEPORT_MAP_SPIDERDUNGEON_02	Spider Dungeon 2
TELEPORT_MAP_SPIDERDUNGEON_03	Spider Dungeon 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Spider Dungeon 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Spider Dungeon 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Spider Dungeon 3
TELEPORT_MAP_BAHIA_NEFRIT	Nephrit Bay
TELEPORT_MAP_TRUENO	HromovÈ hory
TELEPORT_MAP_GAUTAMA	Gautama Cliff
TELEPORT_MAP_CABO_DRAG	dracÌ ohniv˝ pl·öt
TELEPORT_MAP_BOSQ_ENCANT	Zacarovan˝ les
TELEPORT_MAP_DEAMONTOWER	dÈmonsk· veû
TELEPORT_MAP_DEVILS_CATACOMB	katakomby
TELEPORT_MAP_SKIPIA_DUNGEON	VyhoötovacÌ jeskyne
TELEPORT_MAP_SKIPIA_DUNGEON_02	VyhoötovacÌ jeskyne 2
TELEPORT_MAP_BLAZING_PURGATORY	Pevnost cervenÈho draka
TELEPORT_MAP_NEMERES_WARTE	Nemere cek·
TELEPORT_MAP_MAP_1_DESC	Ach ano, mÌsto, kde hraje nostalgick· hudba. V kaûdÈm prÌpade je to centrum obchodu. Pokud si chcete neco koupit, vûdy zde neco najdete! Ale jinak tady toho moc k nalezenÌ nenÌ, pokud uû patrÌte k nejsilnejöÌm bojovnÌkum.
TELEPORT_MAP_MAP_2_DESC	Duleûit· oblast, kdyû jste jeöte mladÌ. Zde najdete slab· monstra, kter· v·m nabÌdnou dobrÈ zkuöenosti aû do ˙rovne 30. TakÈ zde platÌ jeden z limitu opicÌch dungeonu.
TELEPORT_MAP_GUILDZONE_DESC	Oblast, kter· je pro cechy duleûit·. Tady stavÌme! Ale nejen to, najdou se zde i prÌöery. Jsou agresivnÌ a ˙tocÌ sami. MladÌ hr·ci to tu mohou mÌt teûkÈ, ale dajÌ se tu ukoristit dobrÈ predmety.
TELEPORT_MAP_SEUNGRYONG_DESC	⁄dolÌ skretu je perfektnÌm mÌstem pro zv˝öenÌ ˙rovne z ˙rovne 20 na ˙roven pribliûne 50. ⁄dolÌ skretu m· takÈ jedno z nejoblÌbenejöÌch mÌst na farme Metin. äÈf na tÈto mape je öÈf ork. Ten je casto pretÌûen˝, takûe vûdy d·vejte pozor na ûlutÈho chlapa!
TELEPORT_MAP_YONGBI_DESC	Hork˝ vzduch, pÌsek v sand·lech. NelÌbÌ se ti? Pak se tomuto mÌstu radeji vyhnete. Je zde ale co objevovat. SousedÌ zde dve opicÌ kobky, lze se odtud dostat i do pavoucÌ kobky a hadÌho pole.
TELEPORT_MAP_SOHAN_DESC	Nahore je pekn· zima, tak se sbalte! Zde jen zrÌdka najdete legend·rnÌ Nine Tails. Pozor na ne! Je to takÈ dobr· oblast k dob˝v·nÌ metinov˝ch kamenu. Pokud preûijete mrazy, jste tvrd˝ bojovnÌk.
TELEPORT_MAP_DOYYUMHWAN_DESC	Sopky a magma. Je tu velmi horko! Monstra, kter· se cÌtÌ jako z jinÈho sveta, najdete zde. Nechodte sem, pokud nejste dost silnÌ!
TELEPORT_MAP_SNAKEFIELD_DESC	Hadi a obri? Pff... jak to mohlo dopadnout. Jdete do nebezpecnÈ oblasti a pokuste se zde preûÌt. Vyhnete se tomuto mÌstu, pokud opravdu nevÌte, co del·te, jinak budete mÌt za chvÌli hotovo.
TELEPORT_MAP_GHOSTWOOD_DESC	Mapa s mnoha stromov˝mi prÌöerami, metines a zl˝m öÈfem.
TELEPORT_MAP_REDWOOD_DESC	Mapa s mnoha stromov˝mi prÌöerami, metines a zl˝m öÈfem.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Pokud m·te problÈm s velikostÌ, nechodte sem! Jinak zde budete moci ukoristit predmety, kterÈ by v·m mohly prinÈst sl·vu a bohatstvÌ. Jdete tam prosÌm dobre vybaveni. Zeme v·s potrebuje jeöte vÌc!
TELEPORT_BUTTON_RED_EMPIRE	rud· rÌöe
TELEPORT_BUTTON_YELLOW_EMPIRE	ûlutÈ impÈrium
TELEPORT_BUTTON_BLUE_EMPIRE	modr· rÌöe
TELEPORT_BUTTON_START	Zac·tek
TELEPORT_BUTTON_MIDDLE	Centrum
TELEPORT_BUTTON_END	Fin·le
TELEPORT_BUTTON_ENTRY	Vstup
TELEPORT_BUTTON_SKIPIA_1	PrvnÌ patro
TELEPORT_BUTTON_SKIPIA_2	Druh˝ patro
TELEPORT_BUTTON_SKIPIA_BOSS	öÈfov· mÌstnost
LOGIN_ACCOUNT_N_S	é¡DN› ⁄CET
LOGIN_ACCOUNT_DELETE	DELETE
LOGIN_ACCOUNT_SAVED	ULOéIT
LOGIN_ACCOUNT_EMPTY	PR¡ZDN› ⁄CET
LOGIN_ACCOUNT_CONT	⁄CET
MULTIPLE_BUYS_TITLE	Vicenasobne nakupy
DOGMODE	Psi rezim
ENCHANT_REINFORCE_TITLE	Ocaruje & Posiluje
PET_HATCHING_TITLE	Inkub·tor
PET_HATCHING_PRICE	Cena: 100.000 Yang
PET_HATCHING_NAME	JmÈno
PET_HATCHING	Otevreno
SKILL_SELECT_1	Zvolte doktrÌnu
SKILL_SELECT_2	Prijmout
GUILD_MEMBER_WAR	V·lka
ACCEPT	OK
ACCE_ABSORB	Bonus absorpce
ACCE_COMBINE	Kombinov·nÌ
