TELEPORT_PANEL_TITLE	Teleporter
TELEPORT_PANEL_TAB_EMPIRES	Königreiche
TELEPORT_PANEL_TAB_NEUTRAL	Neutrale
TELEPORT_PANEL_TAB_DUNGEONS	Karten
TELEPORT_PANEL_INFO_TITLE	Beschreibung
TELEPORT_PANEL_INFO_BOSS	Bosse : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Auf dieser Karte gibt es keinen Boss
TELEPORT_PANEL_INFO_MINLV	Min. Level:
TELEPORT_PANEL_INFO_MINLV_EMPTY	Min. Level : Kein Mindestlevel
TELEPORT_PANEL_INFO_MAXLV	max. Eben :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Min. Stufe : Keine maximale Stufe
TELEPORT_PANEL_INFO_COST	Kosten :
TELEPORT_PANEL_INFO_COST_EMPTY	Kosten: Keine Kosten
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Erforderliches Element
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Kein Artikel erforderlich
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Gilden - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	Andra Dorf
TELEPORT_MAP_SEUNGRYONG	Orc-Tal
TELEPORT_MAP_YONGBI	Yongbi-Wüste
TELEPORT_MAP_SOHAN	Sohan-Berg
TELEPORT_MAP_DOYYUMHWAN	Feuerland
TELEPORT_MAP_SNAKEFIELD	Schlangenfeld
TELEPORT_MAP_GHOSTWOOD	Geisterwald
TELEPORT_MAP_REDWOOD	Rotes Holz
TELEPORT_MAP_LAND_OF_GIANTS	Land der Riesen
TELEPORT_MAP_SPIDERDUNGEON_01	Spiders Dungeon
TELEPORT_MAP_SPIDERDUNGEON_02	Spinnen-Dungeon 2
TELEPORT_MAP_SPIDERDUNGEON_03	Spinnen-Dungeon 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Spiders Dungeon 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Spinnen-Dungeon 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Spinnen-Dungeon 3
TELEPORT_MAP_BAHIA_NEFRIT	nephrit Bucht
TELEPORT_MAP_TRUENO	Donnerberge
TELEPORT_MAP_GAUTAMA	Gautama-Klippe
TELEPORT_MAP_CABO_DRAG	Feuerumhang des Drachen
TELEPORT_MAP_BOSQ_ENCANT	Zauberwald
TELEPORT_MAP_DEAMONTOWER	Dämonenturm
TELEPORT_MAP_DEVILS_CATACOMB	Katakomben
TELEPORT_MAP_SKIPIA_DUNGEON	Verbannungsgrotte
TELEPORT_MAP_SKIPIA_DUNGEON_02	Verbannungsgrotte 2
TELEPORT_MAP_BLAZING_PURGATORY	Rote Drachenfestung
TELEPORT_MAP_NEMERES_WARTE	Nemere wartet
TELEPORT_MAP_MAP_1_DESC	Ach ja, der Ort, an dem nostalgische Musik spielt. In jedem Fall ist dies das Zentrum des Handels. Wenn Sie etwas kaufen möchten, werden Sie hier immer fündig! Aber ansonsten ist hier nicht viel zu finden, wenn man schon zu den stärksten Kämpfern gehört.
TELEPORT_MAP_MAP_2_DESC	Ein wichtiger Bereich, wenn man noch jung ist. Hier findest du schwache Monster, die dir bis Level 30 gute Erfahrung bieten. Außerdem ist hier einer der Affen-Dungeons limitiert.
TELEPORT_MAP_GUILDZONE_DESC	Ein Bereich, der für Gilden wichtig ist. Wir bauen hier! Aber nicht nur das, auch Monster sind hier zu finden. Sie sind aggressiv und greifen alleine an. Junge Spieler haben es hier vielleicht schwer, aber ihr könnt hier gute Items erbeuten.
TELEPORT_MAP_SEUNGRYONG_DESC	Orc Valley ist der perfekte Ort, um von Level 20 auf etwa Level 50 aufzusteigen. Außerdem hat Orc Valley einen der beliebtesten Standorte der Metin-Farm. Der Boss auf dieser Karte ist der Boss-Ork. Dieser ist oft überlastet, also immer auf den Yellow Guy achten!
TELEPORT_MAP_YONGBI_DESC	Heiße Luft, Sand in den Sandalen. Du magst nicht? Dann meiden Sie diesen Ort besser. Aber hier gibt es viel zu entdecken. Hier grenzen zwei Affenverliese an, auch das Spinnenverlies und das Schlangenfeld sind von hier aus zu erreichen.
TELEPORT_MAP_SOHAN_DESC	Es ist ziemlich kalt hier oben, also zieh dich an! Hier findet man selten die legendären Nine Tails. Pass auf sie auf! Es ist auch ein gutes Gebiet, um Metin-Steine ??zu erobern. Wenn Sie die Kälte überleben, sind Sie ein harter Kämpfer.
TELEPORT_MAP_DOYYUMHWAN_DESC	Vulkane und Magma. Es ist sehr heiß hier! Monster, die sich nicht von dieser Welt anfühlen, finden Sie hier. Gehen Sie nicht hierher, wenn Sie nicht stark genug sind!
TELEPORT_MAP_SNAKEFIELD_DESC	Schlangen und Riesen? Pff... wie konnte das ausgehen. Gehen Sie in eine gefährliche Gegend und versuchen Sie hier zu überleben. Vermeiden Sie diesen Ort, wenn Sie wirklich nicht wissen, was Sie tun, sonst sind Sie in kürzester Zeit fertig.
TELEPORT_MAP_GHOSTWOOD_DESC	Karte mit vielen Baummonstern, Metines und einem bösen Boss.
TELEPORT_MAP_REDWOOD_DESC	Karte mit vielen Baummonstern, Metines und einem bösen Boss.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Wenn Sie ein Problem mit Größen haben, gehen Sie nicht hierher! Andernfalls können Sie hier Gegenstände plündern, die Ihnen Ruhm und Reichtum bringen könnten. Bitte gehen Sie gut ausgerüstet dorthin. Das Land braucht dich noch mehr!
TELEPORT_BUTTON_RED_EMPIRE	Rotes Reich
TELEPORT_BUTTON_YELLOW_EMPIRE	Gelbes Reich
TELEPORT_BUTTON_BLUE_EMPIRE	blaues Reich
TELEPORT_BUTTON_START	Anfang
TELEPORT_BUTTON_MIDDLE	Center
TELEPORT_BUTTON_END	Finale
TELEPORT_BUTTON_ENTRY	Eintrag
TELEPORT_BUTTON_SKIPIA_1	Erste Stock
TELEPORT_BUTTON_SKIPIA_2	Zweites Stock
TELEPORT_BUTTON_SKIPIA_BOSS	Chefzimmer
LOGIN_ACCOUNT_N_S	KEIN KONTO
LOGIN_ACCOUNT_DELETE	LÖSCHEN
LOGIN_ACCOUNT_SAVED	SPEICHERN
LOGIN_ACCOUNT_CONT	KONTO
LOGIN_ACCOUNT_EMPTY	LEERES KONTO
MULTIPLE_BUYS_TITLE	Mehrere kaufe
DOGMODE	Hundemodus
ENCHANT_REINFORCE_TITLE	Verzaubert & verstarkt
PET_HATCHING_TITLE	Inkubator
PET_HATCHING_PRICE	Preis: 100.000 Yang
PET_HATCHING_NAME	Name
PET_HATCHING	Öffne es
SKILL_SELECT_1	Wähle Lehre
SKILL_SELECT_2	Annehmen
GUILD_MEMBER_WAR	Krieg
ACCEPT	OK
ACCE_ABSORB	Aufnahme der Boni
ACCE_COMBINE	Kombination
ACCE_MAIN	Band 1
ACCE_RESULT	Ergebnis
ACCE_SERVE	Band 2
ATTACH_METIN_INFO	Willst du den Geiststein einsetzen?
ATTACH_METIN_TITLE	Geiststein einsetzen
ATTENDANCE_TITLE	Bossjäger-Event
ATTR_67_ADD	Bonus hinzufügen
ATTR_67_ADD_TITLE	Bonus hinzufügen
ATTR_67_MATERIAL_SLOT_TITLE	Fragmente
ATTR_67_REGIST_SLOT_TITLE	Zielitem
ATTR_67_SUPPORT_SLOT_TITLE	Ergänzung
AURA_MAIN	Auragewand
AURA_SUB	Material
AUTO_AUTO_ATTACK	Angreifen
AUTO_AUTO_POSITION	Tränke
AUTO_AUTO_RANGE	Fokus
AUTO_AUTO_SKILL	Fertigkeiten
AUTO_CLEAR	Leeren
AUTO_END	Stop
AUTO_OFF	Aus
AUTO_ON	An
AUTO_POSITION_SETTING	Tränke
AUTO_SAVE	Speichern
AUTO_SETTING	Einstellungen
AUTO_SKILL_SETTING	Fertigkeiten
AUTO_START	Start
AUTO_TITLE	Autojagd
BANNER_ATTENDANCE_BUTTON	Bossjäger-Event
BANNER_BLACK_AND_WHITE_BUTTON	Seherwettstreit
BANNER_CATCHKING_BUTTON	Schnapp den König
BANNER_EASTER_BUTTON	OSTERN
BANNER_FISH_BUTTON	FISCHPUZZLESPIEL
BANNER_FLOWER_BUTTON	BLUMENKINDER
BANNER_FOOTBALL_BUTTON	FUSSBALL
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	MONSTERHATZ
BANNER_MINIBOSS_BUTTON	Zodiak-Apokalypse
BANNER_MONSTERBACK_BUTTON	Trefferpunkte einlösen
BANNER_MYSTERY_BOX_BUTTON	BEUTE-EVENT I
BANNER_MYSTERY_BOX_BUTTON_2	BEUTE-EVENT II
BANNER_NEW_XMAS_BUTTON	WEIHNACHTEN
BANNER_OKEY_BUTTON	Okey-Event
BANNER_OLYMPIC_BUTTON	HELDENEVENT
BANNER_RAMADAN_BUTTON	RAMADAN
BANNER_ROULETTE_BUTTON	Ritual des Blutes
BANNER_SOUL_BUTTON	SEELENEVENT
BANNER_SUMMER_BUTTON	SOMMEREVENT
BANNER_VALENTINE_BUTTON	VALENTINSTAG
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	Kampfzone
BATTLE_FIELD_OPERATION_TIME	Kampfzonen-Beitritt möglich von %s:00 bis %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Beitritt jederzeit möglich.
BATTLE_FIELD_OPERATION_TIME_END	Kampfzone noch %s h geöffnet.
BATTLE_FIELD_OPERATION_TIME_NA	Beitritt zurzeit nicht möglich.
BATTLE_FIELD_OPERATION_TIME_OPEN	Beitritt möglich in %s h für %s h.
BATTLE_FILED_RANK	Rang
BATTLE_FILED_RANK_EMPIRE	Reich
BATTLE_FILED_RANK_NAME	Name
BATTLE_FILED_RANK_POINT	Punkte
BNW_GAME_UI_COM	Gegner
BNW_RANK_UI_COUNT	Spendenzahl
BNW_RANK_UI_NAME	Name
BNW_RANK_UI_RANK	Rang
CANCEL	Abbruch
CHANGE_ATTR_SELECT	Bonus ändern
CHANGE_PASSWORD_CONFIRM	Passwort wiederholen
CHANGE_PASSWORD_NEW	Neues Passwort
CHANGE_PASSWORD_OLD	Altes Passwort
CHANGE_PASSWORD_TITLE	Passwortänderung
CHARACTER_ACTION	Aktionen
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Charakter
CHARACTER_MUTUAL_ACTION	Interaktive Aktionen
CHARACTER_NORMAL_ACTION	Normale Aktionen
CHARACTER_QUEST	Missionen
CHARACTER_SKILL	Fertigkeiten
CHARACTER_SPECTIAL_ACTION	Spezielle Aktionen
CHAT_FILTER	Chatfilter
CHAT_FILTER_DICE	Würfel
CLOSE	Schließen
COMB_APPEARANCE	Empfänger
COMB_ATTRIBUTE	Original
COMB_MAIN	Empfänger
COMB_MATERIAL	Original
COMB_SKILLBOOK_TILE	Bücher tauschen
COSTUME_TITLE	Kostüme
COSTUME_WINDOW_TITLE	Kostüme
CREATE_ATT_GRADE	STR
CREATE_CREATE	Erstellen
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punkte
CREATE_MAN	Mann
CREATE_NAME	Name
CREATE_NEXT	Weiter
CREATE_PREV	Zurück
CREATE_SEX	Geschlecht
CREATE_SHAPE	Aussehen
CREATE_SP	INT
