NPC_SEARCH	Npc Search
NPC_SEARCH_TEXT	Spawns on the following maps:
MOUNT_SOHAN_MAP_NAME	Mounth Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_YONGBI_MAP_NAME	Yongbi Desert
TOURNAMENT_ALL_CHARACTER	All Character
NORMAL_EVENT_TIME	From: %s To: %s
PVP_EVENT_TIME	Starts at: %s
NONE_AFFECT	None Affect
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r
ALL_KINGDOMS	|cFF97AE99All Kingdoms:|h|r
RED_KINGDOM	|cFFFBB497Red Kingdom:|h|r
BLUE_KINGDOM	|cFF8CADDBBlue Kingdom:|h|r
YELLOW_KINGDOM	|cFFFDE696Yellow Kingdom:|h|r
EVENT_TOOLTIP_TITLE	Events on %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	No events on this day.
DOUBLE_BOSS_LOOT_EVENT	Double Boss Loot
DOUBLE_METIN_LOOT_EVENT	Double Metin Loot
DOUBLE_MISSION_BOOK_EVENT	Double Mission Book Loot
DUNGEON_COOLDOWN_EVENT	Dungeon Cooldown
DUNGEON_TICKET_LOOT_EVENT	Book Event
EMPIRE_WAR_EVENT	Empire War (Lv %d - Lv %d)
MOONLIGHT_EVENT	Moonlight Chests
TOURNAMENT_EVENT	PvP Tournament(%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Whell of Fortune
HALLOWEEN_EVENT	Halloween Event
EVENT_MANAGER_WINDOW_TITLE	Event Calendar: %s - %d
ALL_CHANNEL	All Channel
ONLY_CHANNEL	Only Channel %d
BONUS_EVENT	Bonus Event:
BONUS_END_IN	Ends in %s
BONUS_START_IN	Start in %s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Next Event
ITEM_DROP_EVENT	Item Drop Event: %d%%
YANG_DROP_EVENT	Yang Drop Event: %d%%
EXP_EVENT	Exp Drop Event: %d%%
EVENT_MONTH_1	January
EVENT_MONTH_2	February
EVENT_MONTH_3	March
EVENT_MONTH_4	April
EVENT_MONTH_5	May
EVENT_MONTH_6	June
EVENT_MONTH_7	July
EVENT_MONTH_8	August
EVENT_MONTH_9	September
EVENT_MONTH_10	October
EVENT_MONTH_11	November
EVENT_MONTH_12	December
ALTERNATIVE	Alternatives
EMOJI_CHARACTER_STATS_ADD	| Eemoji / key_ctrl | e + | Eemoji / key_lclick | e - Add x10
MAP_NAME_25	Winter Land
MAP_NAME_26	Frozen Village
CUBE_CATEGORY43	Weapon effects
CUBE_CATEGORY44	Armor effects
CUBE_CATEGORY45	Pets
CUBE_CATEGORY46	Mounts
CUBE_CATEGORY47	Sash costumes
CUBE_CATEGORY48	Hairstyles
CUBE_CATEGORY49	Body costumes
CUBE_CATEGORY50	Weapon costumes
REFINE_CURRENT_PERCENTAGE	[i] Current percentage: %d%%
