TARGET_INFO_DROP_ITEMS	Información de Ítems Dropeables
NPC_SEARCH	Buscar NPC
NPC_SEARCH_TEXT	Aparicion solo en los mapas:
MOUNT_SOHAN_MAP_NAME	Montaña Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Tierra Fuego
MOUNT_YONGBI_MAP_NAME	Desierto
TOURNAMENT_ALL_CHARACTER	Todos los Personajes
NORMAL_EVENT_TIME	De: %s a: %s
PVP_EVENT_TIME	Empieza a: %s
NONE_AFFECT	Ninguno Efecto
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r
ALL_KINGDOMS	|cFF97AE99 Todos los Reinos:|h|r
RED_KINGDOM	|cFFFBB497 Reino Rojo:|h|r
BLUE_KINGDOM	|cFF8CADDB Reino Azul:|h|r
YELLOW_KINGDOM	|cFFFDE696 Reino Amarillo:|h|r
EVENT_TOOLTIP_TITLE	Eventos en %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	No hay eventos hoy.
DOUBLE_BOSS_LOOT_EVENT	Botín de doble jefe
DOUBLE_METIN_LOOT_EVENT	Botín de doble de Metin
DOUBLE_MISSION_BOOK_EVENT	Botín de libro doble en Metin
DUNGEON_COOLDOWN_EVENT	Enfriamiento de mazmorra
DUNGEON_TICKET_LOOT_EVENT	Evento de Libros
EMPIRE_WAR_EVENT	Guerra del imperio (Lv %d - Lv %d)
MOONLIGHT_EVENT	Cofres de luz luna
TOURNAMENT_EVENT	Torneo PvP(%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Rueda de la fortuna
HALLOWEEN_EVENT	Evento de Hallowen
EVENT_MANAGER_WINDOW_TITLE	Calendario de eventos: %s - %d
ALL_CHANNEL	Todos los Canales
ONLY_CHANNEL	Solo un Canal %d
BONUS_EVENT	Evento de Bonus:
BONUS_END_IN	Termina en %s
BONUS_START_IN	Empieza en %s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Siguiente Evento
ITEM_DROP_EVENT	Evento de DROP de artículos: %d%%
YANG_DROP_EVENT	Evento de DROP Yang: %d%%
EXP_EVENT	Evento de experiencia: %d%%
EVENT_MONTH_1	Enero
EVENT_MONTH_2	Febrero
EVENT_MONTH_3	Mazro
EVENT_MONTH_4	Abril
EVENT_MONTH_5	Mayo
EVENT_MONTH_6	Junio
EVENT_MONTH_7	Julio
EVENT_MONTH_8	Agosto
EVENT_MONTH_9	Septiembre
EVENT_MONTH_10	Octubre
EVENT_MONTH_11	Noviembre
EVENT_MONTH_12	Diciembre
EMOJI_CHARACTER_STATS_ADD	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - Add x10
MAP_NAME_25	Tierra de Invierno
MAP_NAME_26	Pueblo Congelado
CUBE_CATEGORY43	Efectos de armas
CUBE_CATEGORY44	Efectos de armadura
CUBE_CATEGORY45	Mascota
CUBE_CATEGORY46	MONTURAS
CUBE_CATEGORY47	DISFRAZ SASH
CUBE_CATEGORY48	Peinados
CUBE_CATEGORY49	Apariencias de armaduras
CUBE_CATEGORY50	Apariencias de Armas
REFINE_CURRENT_PERCENTAGE	[i] Porcentaje actual: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Vota por bonificacion
LOGIN_FAILURE_UPDATE	Necesitas actualizar el juego.
MULTIPLE_BUY_PRICE	Precio: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Para utilizar compras multiples.
GAME_NOT_LOADED	El juego se está cargando. Vuelve a intentarlo pronto.
EMPTY_SLOT	%d. ranura libre
PARTY_SKILL_SP_REGEN	Regeneración de SP +%.0f%%
GUILDVOTE_CHANGEMASTER_RESULT2	El gremio te ha sido dado [%s].
PET_CANNOT_BE_EVOLVED	Todavía no puedes evolucionar a esta mascota.
