TELEPORT_PANEL_TITLE	Teletransportador
TELEPORT_PANEL_TAB_EMPIRES	Reinos
TELEPORT_PANEL_TAB_NEUTRAL	Neutrales
TELEPORT_PANEL_TAB_DUNGEONS	Mapas
TELEPORT_PANEL_INFO_TITLE	Descripción
TELEPORT_PANEL_INFO_BOSS	Jefe : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	No hay jefe en este mapa
TELEPORT_PANEL_INFO_MINLV	Min. Nivel :
TELEPORT_PANEL_INFO_MINLV_EMPTY	Min. Nivel : Sin nivel mínimo
TELEPORT_PANEL_INFO_MAXLV	Max. Nivel :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Min. Nivel : Sin nivel máximo
TELEPORT_PANEL_INFO_COST	Coste :
TELEPORT_PANEL_INFO_COST_EMPTY	Coste : Sin coste
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Elemento Requerido
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	No se requiere ningún elemento
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Gremios - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	Pueblo de Andra
TELEPORT_MAP_SEUNGRYONG	Valle Orcos
TELEPORT_MAP_YONGBI	Desierto Yongbi
TELEPORT_MAP_SOHAN	Montaña Sohan
TELEPORT_MAP_DOYYUMHWAN	Tierra de Fuego
TELEPORT_MAP_SNAKEFIELD	Campo de serpientes
TELEPORT_MAP_GHOSTWOOD	Bosque Fantasma
TELEPORT_MAP_REDWOOD	Madera Roja
TELEPORT_MAP_LAND_OF_GIANTS	Tierra de gigantes
TELEPORT_MAP_SPIDERDUNGEON_01	Mazmorra de Araña
TELEPORT_MAP_SPIDERDUNGEON_02	Mazmorra de Araña 2
TELEPORT_MAP_SPIDERDUNGEON_03	Mazmorra de Araña 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Mazmorra de Araña 1
