NPC_SEARCH	Npc keresés
NPC_SEARCH_TEXT	A következo térképeken jelenik meg:
MOUNT_SOHAN_MAP_NAME	Mounth Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_YONGBI_MAP_NAME	Yongbi-sivatag
TOURNAMENT_ALL_CHARACTER	Minden karakter
NORMAL_EVENT_TIME	Feladó: %s Címzett: %s
PVP_EVENT_TIME	Kezdete: %s
NONE_AFFECT	Nincs hatással
EVENT_COLORFULL_TEXT	|cFF84A5B9 %s|h|r
ALL_KINGDOMS	|cFF97AE99 Minden királyság:|h|r
RED_KINGDOM	|cFFFBB497 Red Kingdom:|h|r
BLUE_KINGDOM	|cFF8CADDB Blue Kingdom:|h|r
YELLOW_KINGDOM	|cFFFDE696 Yellow Kingdom:|h|r
EVENT_TOOLTIP_TITLE	Események itt: %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Ezen a napon nincsenek események.
DOUBLE_BOSS_LOOT_EVENT	Double Boss Loot
DOUBLE_METIN_LOOT_EVENT	Dupla Metin Loot
DOUBLE_MISSION_BOOK_EVENT	Dupla küldetés könyvzsákmánya
DUNGEON_COOLDOWN_EVENT	Dungeon Cooldown
DUNGEON_TICKET_LOOT_EVENT	Könyves Rendezvény
EMPIRE_WAR_EVENT	Birodalom háború (%d Lv - %d Lv)
MOONLIGHT_EVENT	Holdfény ládák
TOURNAMENT_EVENT	PvP torna (%s - %d Lv - %d Lv)
WHELL_OF_FORTUNE_EVENT	Szerencse kerék
HALLOWEEN_EVENT	Halloween esemény
EVENT_MANAGER_WINDOW_TITLE	Eseménynaptár: %s - %d
ALL_CHANNEL	Minden csatorna
ONLY_CHANNEL	Csak a %d csatorna
BONUS_EVENT	Bónusz esemény:
BONUS_END_IN	Itt ér véget: %s
BONUS_START_IN	Kezdje itt: %s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e – Következo esemény
ITEM_DROP_EVENT	Elemeldobási esemény: %d%%
YANG_DROP_EVENT	Yang Drop esemény: %d%%
EXP_EVENT	Exp Drop esemény: %d%%
EVENT_MONTH_1	Január
EVENT_MONTH_2	Február
EVENT_MONTH_3	Március
EVENT_MONTH_4	Április
EVENT_MONTH_5	Lehet
EVENT_MONTH_6	Június
EVENT_MONTH_7	Július
EVENT_MONTH_8	Augusztus
EVENT_MONTH_9	szeptember
EVENT_MONTH_10	Október
EVENT_MONTH_11	November
EVENT_MONTH_12	December
ALTERNATIVE	Alternatívák
EMOJI_CHARACTER_STATS_ADD	| Eemoji / key_ctrl | e + | Eemoji / key_lclick | e - Adjon hozzá x10
MAP_NAME_25	Télföld
MAP_NAME_26	Fagyos Falu
CUBE_CATEGORY43	Fegyver Hatás
CUBE_CATEGORY44	Páncélzat Hatás
CUBE_CATEGORY45	Kiskedvencek
CUBE_CATEGORY46	Hatás
CUBE_CATEGORY47	Vállszalag Jelmez
CUBE_CATEGORY48	Frizurák
CUBE_CATEGORY49	Páncélzat jelmezek
CUBE_CATEGORY50	Fegyver Kinézetek
REFINE_CURRENT_PERCENTAGE	[i] Jelenlegi szazalek: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Szavazz a bonuszra
LOGIN_FAILURE_UPDATE	Frissiteni kell a jatekot.
MULTIPLE_BUY_PRICE	Ár: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Tobb vasarlas hasznalatahoz.
GAME_NOT_LOADED	A játék betöltodik, próbálja újra hamarosan.
EMPTY_SLOT	%d. szabad nyílás
PARTY_SKILL_SP_REGEN	MP-Regenerálódás +%.0f%%
GUILDVOTE_CHANGEMASTER_RESULT2	A céhet neked adták [%s].
PET_CANNOT_BE_EVOLVED	Ezt a háziállatot még nem lehet fejleszteni.
SKILL_SELECT_1A	Tizedes
SKILL_SELECT_1B	Mentális
SKILL_SELECT_2A	Közelharci
SKILL_SELECT_2B	Íjj
SKILL_SELECT_3A	Mágikus fegyverek
SKILL_SELECT_3B	Fekete mágia
SKILL_SELECT_4A	Sárkány
SKILL_SELECT_4B	Gyógyítás
SKILL_SELECT_DIALOG1	Tanítást kell választanod!
SKILL_SELECT_DIALOG2	Szeretnéd megtanulni a stílust: %s?
ACCE_ABSORB_COST	Abszorpció ára: %d
ACCE_ALREADY_REGISTER	Ez a tárgy már felhasználásra került.
ACCE_DEL_ABSORDITEM	Tárgy abszorbeálása és annak megsemmisítése?
ACCE_DEL_SERVEITEM	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_DEL_SERVEITEM2	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_INITEM	Húzd a tárgyakat az ablakba.
ACCE_MAXGRADE	Ez már egyedivé lett téve.
ACCE_MAX_DRAINRATE	Max. abszorpciós mérték
ACCE_NOTABSORBITEM	Nem tudod használni azt a fegyvert vagy páncéldarabot, ami már abszorbeálva lett.
ACCE_NOT_SEALITEM	Nem használhatsz lélekhez kötött tárgyakat.
ACCE_NOT_USINGITEM	Nem kombinálhatsz felszerelt tárgyat.
ACCE_NOT_WINDOWOPEN	Nem használhatod a tárgyat, ha a kombinációs ablak meg van nyitva.
ACCE_POSSIBLE_ACCE	Csak Vállpántokat használhatsz.
ACCE_POSSIBLE_ACCEITEM	Csak fegyverekbõl és páncélokból vonhatsz ki bónuszokat.
AFF_LOVE_POINT	Szerelmi pont: %d%%
ALIGNMENT_NAME	Rang pontok:
ATTACK_ERROR_UNKNOWN	Ismeretlen Támadás Hiba: %s
ATTENDANCE_REWARD_QUESTION	Be szeretnéd gyûjteni a jutalmad?
ATTR_6TH_7TH_ADD_QUESTION1	Nem használhatod ezt a tárgyat bónusz hozzáadása közben.
ATTR_6TH_7TH_ADD_QUESTION2	Biztosan szeretnéd hozzáadni a bónuszt?
ATTR_6TH_7TH_CHANGE_FAIL	Nem változtathatod meg a bónuszt.
ATTR_6TH_7TH_DESC1	a. 6. és 7. bónusz hozzáadásához be kell raknod a tárgyhoz szükséges anyagokat.
ATTR_6TH_7TH_DESC2	b. Minden erõszilánk 2%-kal növeli a siker esélyét.
ATTR_6TH_7TH_DESC3	c. Erõsítõ használatával még tovább növelheted a siker esélyét.
ATTR_6TH_7TH_DESC4	d. 24 óráig tart egy bónusz hozzáadása. Ez idõ alatt az NPC-nél lesz a tárgy, amihez a bónuszt szeretnéd hozzáadni. Amint befejezõdött a folyamat, vissza tudod venni.
ATTR_6TH_7TH_POSSIBILITY	Hozzáadható egy további bónusz.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Siker esélye: %.1f%%
AURA_DRAIN_PER	Abszorpció mértéke %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Nincs elég Yang a feljavításhoz.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Az átvitt tárgy nem használható.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] A felszerelt tárgyak nem vihetõk át.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nem lehetséges a feljavítás.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] A jelenlegi tárgyak mennyisége nem elegendõ a feljavításhoz.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nem lehetséges a fejlesztés.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Csak Aura öltözék, pajzs, nyaklánc, fülbevaló és karkötõ használható.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Lélekhez kötött tárgyak nem vihetõk át.
AURA_ITEM_NEED_REGISTER	[Aura] Be kell helyezned a tárgyakat.
AURA_LEVEL_STEP	Szint %d (Alszint %d)
AURA_MAX_LEVEL	[Aura] Az Aura öltözék elérte a maximális szintet.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Az átvitt tárgy meg fog semmisülni.
