TELEPORT_PANEL_TITLE	teleportáló
TELEPORT_PANEL_TAB_EMPIRES	királyságok
TELEPORT_PANEL_TAB_NEUTRAL	semlegesek
TELEPORT_PANEL_TAB_DUNGEONS	térképek
TELEPORT_PANEL_INFO_TITLE	Leírás
TELEPORT_PANEL_INFO_BOSS	Fonökök : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Ezen a térképen nincs fonök
TELEPORT_PANEL_INFO_MINLV	Min. szint:
TELEPORT_PANEL_INFO_MINLV_EMPTY	Min. szint: Nincs minimális szint
TELEPORT_PANEL_INFO_MAXLV	Max. Szint:
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Min. szint: Nincs max. szint
TELEPORT_PANEL_INFO_COST	Költség:
TELEPORT_PANEL_INFO_COST_EMPTY	Költség: Nincs költség
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Kötelezo elem
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Nincs szükség elemre
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Céhek - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	Andra falu
TELEPORT_MAP_SEUNGRYONG	Ork Völgy
TELEPORT_MAP_YONGBI	yongbi sivatag
TELEPORT_MAP_SOHAN	Sohan hegy
TELEPORT_MAP_DOYYUMHWAN	Tuzföld
TELEPORT_MAP_SNAKEFIELD	kígyómezo
TELEPORT_MAP_GHOSTWOOD	Ghost Forest
TELEPORT_MAP_REDWOOD	Vörös fa
TELEPORT_MAP_LAND_OF_GIANTS	Óriások földje
TELEPORT_MAP_SPIDERDUNGEON_01	Spider Dungeon
TELEPORT_MAP_SPIDERDUNGEON_02	Spider Dungeon 2
TELEPORT_MAP_SPIDERDUNGEON_03	Spider Dungeon 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Spider Dungeon 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Spider Dungeon 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Spider Dungeon 3
TELEPORT_MAP_BAHIA_NEFRIT	nefrit öböl
TELEPORT_MAP_TRUENO	Mennydörgés-hegység
TELEPORT_MAP_GAUTAMA	Gautama szikla
TELEPORT_MAP_CABO_DRAG	sárkánytuz köpenyt
