NPC_SEARCH	Ricerca Npc
NPC_SEARCH_TEXT	Si genera sulle seguenti mappe:
MOUNT_SOHAN_MAP_NAME	Monte Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_YONGBI_MAP_NAME	deserto di Yongbi
TOURNAMENT_ALL_CHARACTER	Tutto il carattere
NORMAL_EVENT_TIME	Da: %s A: %s
PVP_EVENT_TIME	Inizia alle: %s
NONE_AFFECT	Nessuno Influenza
EVENT_COLORFULL_TEXT	|cFF84A5B9 %s|h|r
ALL_KINGDOMS	|cFF97AE99 Tutti i regni:|h|r
RED_KINGDOM	|cFFFBB497 Regno Rosso:|h|r
BLUE_KINGDOM	|cFF8CADDB Blue Kingdom:|h|r
YELLOW_KINGDOM	|cFFFDE696 Regno giallo:|h|r
EVENT_TOOLTIP_TITLE	Eventi su %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Nessun evento in questo giorno.
DOUBLE_BOSS_LOOT_EVENT	Bottino doppio boss
DOUBLE_METIN_LOOT_EVENT	Doppio bottino Metin
DOUBLE_MISSION_BOOK_EVENT	Bottino del libro delle missioni doppio
DUNGEON_COOLDOWN_EVENT	Recupero del dungeon
DUNGEON_TICKET_LOOT_EVENT	Evento del Libro
EMPIRE_WAR_EVENT	Guerra dell'Impero (Lv %d - Lv %d)
MOONLIGHT_EVENT	Forzieri al chiaro di luna
TOURNAMENT_EVENT	Torneo PvP(%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Pozzo di fortuna
HALLOWEEN_EVENT	Evento di Halloween
EVENT_MANAGER_WINDOW_TITLE	Calendario eventi: %s - %d
ALL_CHANNEL	Tutti i canali
ONLY_CHANNEL	Solo canale %d
BONUS_EVENT	Evento bonus:
BONUS_END_IN	Termina tra %s
BONUS_START_IN	Inizia tra %s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Evento successivo
ITEM_DROP_EVENT	Evento di rilascio oggetto: %d%%
YANG_DROP_EVENT	Evento Drop Yang: %d%%
EXP_EVENT	Evento Exp Drop: %d%%
EVENT_MONTH_1	Gennaio
EVENT_MONTH_2	Febbraio
EVENT_MONTH_3	Marzo
EVENT_MONTH_4	Aprile
EVENT_MONTH_5	Maggio
EVENT_MONTH_6	Giugno
EVENT_MONTH_7	Luglio
EVENT_MONTH_8	Agosto
EVENT_MONTH_9	Settembre
EVENT_MONTH_10	Ottobre
EVENT_MONTH_11	Novembre
EVENT_MONTH_12	Dicembre
ALTERNATIVE	Alternative
EMOJI_CHARACTER_STATS_ADD	| Eemoji / key_ctrl | e + | Eemoji / key_lclick | e - Aggiungi x10
CALENDAR_EVENIMENTE	Calendar of Events
ZIUA_EVENIMENTULUI	Day
EVENIMENTUL	Event
DURATA_EVENIMENTULUI	Duration
SURE_SELECTION	Sei sicuro della tua scelta?
WAITING	In attesa di giocatori..
TERRAIN_ZONE	Zona del terreno - Nascosta
TERRAIN_ZONE1	Zona del terreno - Visibile
SELECT_POSITION	Seleziona posizione sulla mappa
REMAINING_PLAYER	Giocatori rimanenti : 
ENTER_ZONE	Entra nella 
ENTER_NEW_ZONE	 nuova zona
EVENT_END_DRAW	L'evento termina in pareggio:
YOUR_KILL	Le tue uccisioni :
