TELEPORT_PANEL_TITLE	teletrasporto
TELEPORT_PANEL_TAB_EMPIRES	regni
TELEPORT_PANEL_TAB_NEUTRAL	neutri
TELEPORT_PANEL_TAB_DUNGEONS	mappe
TELEPORT_PANEL_INFO_TITLE	Descrizione
TELEPORT_PANEL_INFO_BOSS	Boss : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Non ci sono boss su questa mappa
TELEPORT_PANEL_INFO_MINLV	Livello minimo:
TELEPORT_PANEL_INFO_MINLV_EMPTY	Livello Min. : Nessun livello minimo
TELEPORT_PANEL_INFO_MAXLV	Massimo Livello:
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Livello Min. : Nessun livello massimo
TELEPORT_PANEL_INFO_COST	Costo :
TELEPORT_PANEL_INFO_COST_EMPTY	Costo: Nessun costo
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Elemento richiesto
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Nessun articolo richiesto
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Gilde - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	villaggio di Andra
TELEPORT_MAP_SEUNGRYONG	Valle dell'Orco
TELEPORT_MAP_YONGBI	deserto di yongbi
TELEPORT_MAP_SOHAN	Montagna Sohan
TELEPORT_MAP_DOYYUMHWAN	Terra di fuoco
TELEPORT_MAP_SNAKEFIELD	campo di serpenti
TELEPORT_MAP_GHOSTWOOD	Foresta Fantasma
TELEPORT_MAP_REDWOOD	Legno rosso
TELEPORT_MAP_LAND_OF_GIANTS	Terra di giganti
TELEPORT_MAP_SPIDERDUNGEON_01	Dungeon del ragno
TELEPORT_MAP_SPIDERDUNGEON_02	Dungeon del ragno 2
TELEPORT_MAP_SPIDERDUNGEON_03	Dungeon del ragno 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Dungeon del ragno 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Dungeon del ragno 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Dungeon del ragno 3
TELEPORT_MAP_BAHIA_NEFRIT	baia di nefrito
TELEPORT_MAP_TRUENO	Monti Tuono
TELEPORT_MAP_GAUTAMA	Scogliera di Gautama
TELEPORT_MAP_CABO_DRAG	mantello di fuoco del drago
TELEPORT_MAP_BOSQ_ENCANT	Foresta incantata
TELEPORT_MAP_DEAMONTOWER	torre dei demoni
TELEPORT_MAP_DEVILS_CATACOMB	catacombe
TELEPORT_MAP_SKIPIA_DUNGEON	Grotta dell'Esilio
TELEPORT_MAP_SKIPIA_DUNGEON_02	Grotta dell'Esilio 2
TELEPORT_MAP_BLAZING_PURGATORY	Fortezza del Drago Rosso
TELEPORT_MAP_NEMERES_WARTE	Nemere aspetta
TELEPORT_MAP_MAP_1_DESC	Oh sì, il luogo in cui suona la musica nostalgica. In ogni caso, questo è il centro del commercio. Se vuoi comprare qualcosa, troverai sempre qualcosa qui! Ma per il resto, non c'è molto da trovare qui se appartieni già ai combattenti più forti.
TELEPORT_MAP_MAP_2_DESC	Un'area importante quando sei ancora giovane. Qui troverai mostri deboli che ti offrono una buona esperienza fino al livello 30. Inoltre, uno dei limiti dei dungeon delle scimmie qui.
TELEPORT_MAP_GUILDZONE_DESC	Un'area importante per le gilde. Stiamo costruendo qui! Ma non solo, i mostri possono essere trovati anche qui. Sono aggressivi e attaccheranno da soli. I giovani giocatori potrebbero avere difficoltà qui, ma qui puoi saccheggiare buoni oggetti.
TELEPORT_MAP_SEUNGRYONG_DESC	Orc Valley è il luogo perfetto per salire di livello dal livello 20 a circa il livello 50. Inoltre, Orc Valley ha una delle posizioni più famose di Metin Farm. Il boss su questa mappa è l'orco boss. Questo è spesso sovraccarico, quindi fai sempre attenzione al Ragazzo Giallo!
TELEPORT_MAP_YONGBI_DESC	Aria calda, sabbia nei sandali. Non ti piace? Allora è meglio che eviti questo posto. Ma c'è molto da scoprire qui. Qui sono adiacenti due sotterranei delle scimmie, da qui si possono raggiungere anche il dungeon dei ragni e il campo dei serpenti.
TELEPORT_MAP_SOHAN_DESC	Fa piuttosto freddo quassù, quindi copriti! Qui trovi raramente il leggendario Nine Tails. Attento a loro! È anche una buona zona per conquistare pietre di metin. Se sopravvivi al freddo, sei un combattente duro.
TELEPORT_MAP_DOYYUMHWAN_DESC	Vulcani e magma. Fa molto caldo qui dentro! I mostri che si sentono fuori dal mondo possono essere trovati qui. Non andare qui se non sei abbastanza forte!
TELEPORT_MAP_SNAKEFIELD_DESC	Serpenti e giganti? Pff... come potrebbe essere andata a finire. Vai in una zona pericolosa e cerca di sopravvivere qui. Evita questo posto se davvero non sai cosa stai facendo, altrimenti finirai in men che non si dica.
TELEPORT_MAP_GHOSTWOOD_DESC	Mappa con molti mostri albero, metine e un boss malvagio.
TELEPORT_MAP_REDWOOD_DESC	Mappa con molti mostri albero, metine e un boss malvagio.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Se hai un problema con le taglie, non andare qui! Altrimenti, sarai in grado di saccheggiare oggetti qui che potrebbero portarti fama e fortuna. Per favore, andateci ben attrezzati. Il Paese ha ancora più bisogno di te!
TELEPORT_BUTTON_RED_EMPIRE	impero rosso
TELEPORT_BUTTON_YELLOW_EMPIRE	impero giallo
TELEPORT_BUTTON_BLUE_EMPIRE	impero blu
TELEPORT_BUTTON_START	Inizio
TELEPORT_BUTTON_MIDDLE	Centro
TELEPORT_BUTTON_END	Finale
TELEPORT_BUTTON_ENTRY	Iscrizione
TELEPORT_BUTTON_SKIPIA_1	Primo piano
TELEPORT_BUTTON_SKIPIA_2	Secondo piano
TELEPORT_BUTTON_SKIPIA_BOSS	stanza del capo
LOGIN_ACCOUNT_N_S	NESSUN ACCOUNT
LOGIN_ACCOUNT_DELETE	CANCELLA
