NPC_SEARCH	Szukaj NPC
NPC_SEARCH_TEXT	Pojawia sie na nastepujacych mapach:
MOUNT_SOHAN_MAP_NAME	Góra Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_YONGBI_MAP_NAME	Pustynia Yongbi
TOURNAMENT_ALL_CHARACTER	Wszystkie postacie
NORMAL_EVENT_TIME	Od: %s Do: %s
PVP_EVENT_TIME	Zaczyna sie o: %s
NONE_AFFECT	Brak wplywu
EVENT_COLORFULL_TEXT	|cFF84A5B9 %s|h|r
ALL_KINGDOMS	|cFF97AE99 Wszystkie królestwa:|h|r
RED_KINGDOM	|cFFFBB497 Czerwone Królestwo:|h|r
BLUE_KINGDOM	|cFF8CADDB Niebieskie królestwo:|h|r
YELLOW_KINGDOM	|cFFFDE696 Zólte królestwo:|h|r
EVENT_TOOLTIP_TITLE	Wydarzenia w %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Brak wydarzen w tym dniu.
DOUBLE_BOSS_LOOT_EVENT	Lup od podwójnego bossa
DOUBLE_METIN_LOOT_EVENT	Lup z podwójnego metina
DOUBLE_MISSION_BOOK_EVENT	Lup z ksiazki o podwójnych misjach
DUNGEON_COOLDOWN_EVENT	Czas odnowienia lochów
DUNGEON_TICKET_LOOT_EVENT	Wydarzenie Ksiazkowe
EMPIRE_WAR_EVENT	Wojna Imperium (Poz %d - Poz %d)
MOONLIGHT_EVENT	Skrzynie ksiezycowego swiatla
TOURNAMENT_EVENT	Turniej PvP (%s - Poziom %d - Poziom %d)
WHELL_OF_FORTUNE_EVENT	Studnia fortuny
HALLOWEEN_EVENT	Wydarzenie Halloween
EVENT_MANAGER_WINDOW_TITLE	Kalendarz wydarzen: %s - %d
ALL_CHANNEL	Wszystkie kanaly
ONLY_CHANNEL	Tylko kanal %d
BONUS_EVENT	Wydarzenie bonusowe:
BONUS_END_IN	Konczy sie za %s
BONUS_START_IN	Zacznij za %s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Nastepne wydarzenie
ITEM_DROP_EVENT	Zdarzenie wypadania przedmiotów: %d%%
YANG_DROP_EVENT	Wydarzenie zrzutu Yang: %d%%
EXP_EVENT	Wydarzenie zrzutu doswiadczenia: %d%%
EVENT_MONTH_1	Styczen
EVENT_MONTH_2	Luty
EVENT_MONTH_3	Marsz
EVENT_MONTH_4	Kwiecien
EVENT_MONTH_5	Moze
EVENT_MONTH_6	Czerwiec
EVENT_MONTH_7	Lipiec
EVENT_MONTH_8	Sierpien
EVENT_MONTH_9	Wrzesien
EVENT_MONTH_10	Pazdziernik
EVENT_MONTH_11	Listopad
EVENT_MONTH_12	Grudzien
ALTERNATIVE	Alternatywy
EMOJI_CHARACTER_STATS_ADD	| Eemoji / key_ctrl | e + | Eemoji / key_lclick | e - Dodaj x10
MAP_NAME_25	Zimowa Kraina
MAP_NAME_26	Zamarznieta Wioska
CUBE_CATEGORY43	Bron Efekt
CUBE_CATEGORY44	Zbroje Efekt
CUBE_CATEGORY45	Zwierzak
CUBE_CATEGORY46	Wierzchowiec
CUBE_CATEGORY47	Kostium Szarfy
CUBE_CATEGORY48	Fryzury
CUBE_CATEGORY49	Zbroje Kostiumowe
CUBE_CATEGORY50	Bron Kostiumowa
REFINE_CURRENT_PERCENTAGE	[i] Biezacy procent: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Glosuj na bonus
LOGIN_FAILURE_UPDATE	Musisz zaktualizowac gre.
MULTIPLE_BUY_PRICE	Cena: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Aby korzystac z wielu zakupow.
GAME_NOT_LOADED	Gra sie laduje, spróbuj ponownie wkrótce.
EMPTY_SLOT	%d. wolne miejsce
PARTY_SKILL_SP_REGEN	Regeneracja PE +%.0f%%
GUILDVOTE_CHANGEMASTER_RESULT2	Gildia zostala ci dostarczona [%s].
PET_CANNOT_BE_EVOLVED	Nie mozesz jeszcze ewoluowac tego zwierzaka.
SKILL_SELECT_1A	Cialo
SKILL_SELECT_1B	Umysl
SKILL_SELECT_2A	Ostrze
SKILL_SELECT_2B	Luk
SKILL_SELECT_3A	Bron
SKILL_SELECT_3B	Czarna magia
SKILL_SELECT_4A	Smok
SKILL_SELECT_4B	Leczenie
