TELEPORT_PANEL_TITLE	teleporter
TELEPORT_PANEL_TAB_EMPIRES	królestwa
TELEPORT_PANEL_TAB_NEUTRAL	neutralne
TELEPORT_PANEL_TAB_DUNGEONS	mapy
TELEPORT_PANEL_INFO_TITLE	Opis
TELEPORT_PANEL_INFO_BOSS	Szefowie : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Na tej mapie nie ma szefa
TELEPORT_PANEL_INFO_MINLV	Min.Poziom:
TELEPORT_PANEL_INFO_MINLV_EMPTY	Min. poziom: brak minimalnego poziomu
TELEPORT_PANEL_INFO_MAXLV	Maks. Poziom :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Min. poziom: brak maksymalnego poziomu
TELEPORT_PANEL_INFO_COST	Koszt :
TELEPORT_PANEL_INFO_COST_EMPTY	Koszt: bez kosztów
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Wymagany element
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Nie jest wymagany zaden przedmiot
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Gildie - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	Wies Andra
TELEPORT_MAP_SEUNGRYONG	Dolina Orków
TELEPORT_MAP_YONGBI	pustynia yongbi
TELEPORT_MAP_SOHAN	Góra Sohan
TELEPORT_MAP_DOYYUMHWAN	Ziemia ognia
TELEPORT_MAP_SNAKEFIELD	pole weza
TELEPORT_MAP_GHOSTWOOD	Las duchów
TELEPORT_MAP_REDWOOD	Czerwone drewno
TELEPORT_MAP_LAND_OF_GIANTS	Kraina gigantów
TELEPORT_MAP_SPIDERDUNGEON_01	Loch Pajaków
TELEPORT_MAP_SPIDERDUNGEON_02	Loch Pajaków 2
TELEPORT_MAP_SPIDERDUNGEON_03	Loch Pajaków 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Loch Pajaków 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Loch Pajaków 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Loch Pajaków 3
TELEPORT_MAP_BAHIA_NEFRIT	zatoka nefrytu
TELEPORT_MAP_TRUENO	Góry Grzmotów
TELEPORT_MAP_GAUTAMA	Klif Gautamy
TELEPORT_MAP_CABO_DRAG	peleryna ognista smoka
TELEPORT_MAP_BOSQ_ENCANT	Zaczarowany las
TELEPORT_MAP_DEAMONTOWER	demoniczna wieza
TELEPORT_MAP_DEVILS_CATACOMB	katakumby
TELEPORT_MAP_SKIPIA_DUNGEON	Grota Wygnania
TELEPORT_MAP_SKIPIA_DUNGEON_02	Grota Wygnania 2
TELEPORT_MAP_BLAZING_PURGATORY	Twierdza Czerwonego Smoka
TELEPORT_MAP_NEMERES_WARTE	Nemere czeka
TELEPORT_MAP_MAP_1_DESC	O tak, miejsce, w którym gra nostalgiczna muzyka. W kazdym razie jest to centrum handlu. Jesli chcesz cos kupic, zawsze znajdziesz cos tutaj! Ale poza tym nie ma tu wiele do znalezienia, jesli nalezysz juz do najsilniejszych wojowników.
TELEPORT_MAP_MAP_2_DESC	Wazny obszar, gdy jestes jeszcze mlody. Znajdziesz tutaj slabe potwory, które oferuja dobre doswiadczenie do poziomu 30. Równiez jeden z limitów malpich lochów.
TELEPORT_MAP_GUILDZONE_DESC	Obszar wazny dla gildii. Budujemy tutaj! Ale nie tylko to, mozna tu równiez znalezc potwory. Sa agresywni i beda atakowac samotnie. Mlodzi gracze moga miec tutaj trudnosci, ale mozesz tu zdobyc dobre przedmioty.
TELEPORT_MAP_SEUNGRYONG_DESC	Dolina Orków to idealne miejsce do awansowania z poziomu 20 do okolo 50. Ponadto Dolina Orków ma jedna z najpopularniejszych lokalizacji Metin Farm. Bossem na tej mapie jest boss ork. Ten jest czesto przeladowany, wiec zawsze uwazaj na zóltego faceta!
TELEPORT_MAP_YONGBI_DESC	Gorace powietrze, piasek w sandalach. Nie lubisz? Wiec lepiej unikaj tego miejsca. Ale jest tu wiele do odkrycia. Przylegaja do tego dwa lochy malp, loch pajaków i pole wezy mozna stad równiez dostac.
TELEPORT_MAP_SOHAN_DESC	Tutaj jest dosc zimno, wiec spakuj sie! Tutaj rzadko mozna znalezc legendarnego Dziewiecioogoniastego. Uwazaj na nich! Jest to równiez dobry teren do zdobywania kamieni metinowych. Jesli przezyjesz zimno, jestes twardym wojownikiem.
TELEPORT_MAP_DOYYUMHWAN_DESC	Wulkany i magma. Jest tu bardzo goraco! Potwory, które czuja sie nie z tego swiata, mozna znalezc tutaj. Nie idz tutaj, jesli nie jestes wystarczajaco silny!
TELEPORT_MAP_SNAKEFIELD_DESC	Weze i olbrzymy? Pff... jak moglo sie to skonczyc. Udaj sie do niebezpiecznego obszaru i postaraj sie tu przezyc. Unikaj tego miejsca, jesli naprawde nie wiesz, co robisz, w przeciwnym razie skonczysz w mgnieniu oka.
TELEPORT_MAP_GHOSTWOOD_DESC	Mapa z wieloma potworami drzewnymi, metinami i zlym bossem.
TELEPORT_MAP_REDWOOD_DESC	Mapa z wieloma potworami drzewnymi, metinami i zlym bossem.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Jesli masz problem z rozmiarami, nie wchodz tutaj! W przeciwnym razie bedziesz mógl tu zdobyc przedmioty, które przyniosa ci slawe i fortune. Prosze idz tam dobrze wyposazony. Kraj potrzebuje Cie jeszcze bardziej!
TELEPORT_BUTTON_RED_EMPIRE	czerwone imperium
TELEPORT_BUTTON_YELLOW_EMPIRE	zólte imperium
TELEPORT_BUTTON_BLUE_EMPIRE	niebieskie imperium
TELEPORT_BUTTON_START	Poczatek
TELEPORT_BUTTON_MIDDLE	Srodek
TELEPORT_BUTTON_END	Final
TELEPORT_BUTTON_ENTRY	Wejscie
TELEPORT_BUTTON_SKIPIA_1	Pierwsze pietro
TELEPORT_BUTTON_SKIPIA_2	Drugi pietro
TELEPORT_BUTTON_SKIPIA_BOSS	pokój szefa
