NPC_SEARCH	Pesquisa NPC
NPC_SEARCH_TEXT	Aparece nos seguintes mapas:
MOUNT_SOHAN_MAP_NAME	Mount Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_YONGBI_MAP_NAME	Deserto de Yongbi
TOURNAMENT_ALL_CHARACTER	Todos os caracteres
NORMAL_EVENT_TIME	De: %s Para: %s
PVP_EVENT_TIME	Começa em: %s
NONE_AFFECT	Nenhum afeta
EVENT_COLORFULL_TEXT	|cFF84A5B9 %s|h|r
ALL_KINGDOMS	|cFF97AE99 Todos os Reinos:|h|r
RED_KINGDOM	|cFFFBB497 Reino Vermelho:|h|r
BLUE_KINGDOM	|cFF8CADDB Reino Azul:|h|r
YELLOW_KINGDOM	|cFFFDE696 Reino Amarelo:|h|r
EVENT_TOOLTIP_TITLE	Eventos em %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Não há eventos neste dia.
DOUBLE_BOSS_LOOT_EVENT	Saque de chefe duplo
DOUBLE_METIN_LOOT_EVENT	Saque duplo de Metin
DOUBLE_MISSION_BOOK_EVENT	Saque de Livro de Missão Dupla
DUNGEON_COOLDOWN_EVENT	Tempo de espera da masmorra
DUNGEON_TICKET_LOOT_EVENT	Evento do Livro
EMPIRE_WAR_EVENT	Guerra do Império (Lv %d - Lv %d)
MOONLIGHT_EVENT	Baús ao Luar
TOURNAMENT_EVENT	Torneio PvP(%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Roda da Fortuna
HALLOWEEN_EVENT	Evento de Halloween
EVENT_MANAGER_WINDOW_TITLE	Calendário de eventos: %s - %d
ALL_CHANNEL	Todos os canais
ONLY_CHANNEL	Apenas canal %d
BONUS_EVENT	Evento bônus:
BONUS_END_IN	Termina em %s
BONUS_START_IN	Comece em %s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Próximo evento
ITEM_DROP_EVENT	Evento de entrega de itens: %d%%
YANG_DROP_EVENT	Evento de queda de Yang: %d%%
EXP_EVENT	Evento de queda de exp: %d%%
EVENT_MONTH_1	Janeiro
EVENT_MONTH_2	Fevereiro
EVENT_MONTH_3	Marchar
EVENT_MONTH_4	Abril
EVENT_MONTH_5	Poderia
EVENT_MONTH_6	Junho
EVENT_MONTH_7	Julho
EVENT_MONTH_8	Agosto
EVENT_MONTH_9	Setembro
EVENT_MONTH_10	Outubro
EVENT_MONTH_11	Novembro
EVENT_MONTH_12	Dezembro
ALTERNATIVE	Alternativas
EMOJI_CHARACTER_STATS_ADD	| Eemoji / key_ctrl | e + | Eemoji / key_lclick | e - Adicionar x10
MAP_NAME_25	Winter Land
MAP_NAME_26	Vila Congelada
CUBE_CATEGORY43	Efeito Armas
CUBE_CATEGORY44	Efeito Armaduras
CUBE_CATEGORY45	Pet
CUBE_CATEGORY46	Montarias
CUBE_CATEGORY47	Trajes Sash
CUBE_CATEGORY48	Penteados
CUBE_CATEGORY49	Skin Armaduras
CUBE_CATEGORY50	Skin Armas
REFINE_CURRENT_PERCENTAGE	[i] Porcentagem atual: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Vote no bonus
LOGIN_FAILURE_UPDATE	Voce precisa atualizar o jogo.
MULTIPLE_BUY_PRICE	Preço: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Para usar varias compras.
GAME_NOT_LOADED	O jogo está carregando, tente novamente em breve.
EMPTY_SLOT	%d. espaço livre
PARTY_SKILL_SP_REGEN	Regeneração de MN +%.0f%%
GUILDVOTE_CHANGEMASTER_RESULT2	A guilda foi entregue a você [%s].
PET_CANNOT_BE_EVOLVED	Você não pode evoluir este animal de estimação ainda.
SKILL_SELECT_1A	Corpo
SKILL_SELECT_1B	Mental
SKILL_SELECT_2A	Adagas
SKILL_SELECT_2B	Arco
SKILL_SELECT_3A	Armas
SKILL_SELECT_3B	Magias
SKILL_SELECT_4A	Dragão
SKILL_SELECT_4B	Cura
SKILL_SELECT_DIALOG1	Você tem que escolher uma doutrina!
SKILL_SELECT_DIALOG2	Você quer aprender o estilo: %s?
ACCE_ABSORB_COST	Preço de absorção: %d
ACCE_ALREADY_REGISTER	Este item já foi usado.
ACCE_DEL_ABSORDITEM	Absorver item, destruindo-o no processo?
ACCE_DEL_SERVEITEM	A Faixa 2 será destruída caso a combinação falhe.
ACCE_DEL_SERVEITEM2	A Faixa 2 será destruída caso a combinação falhe.
ACCE_INITEM	Arrasta os itens para a janela.
ACCE_MAXGRADE	Isto já foi personalizado.
ACCE_MAX_DRAINRATE	Máx. Taxa de Absorção
ACCE_NOTABSORBITEM	Não podes usar uma arma ou armadura que já tenha sido absorvida.
ACCE_NOT_SEALITEM	Não podes usar quaisquer itens vinculados.
ACCE_NOT_USINGITEM	Não podes combinar um item equipado.
ACCE_NOT_WINDOWOPEN	Não podes usar o item quando a janela de combinação está aberta.
ACCE_POSSIBLE_ACCE	Apenas podes usar Faixas de Ombro.
ACCE_POSSIBLE_ACCEITEM	Apenas podes extrair bónus de armas de armaduras.
AFF_LOVE_POINT	Pontos de Amor: %d%%
ALIGNMENT_NAME	Pontos de Karma:
ATTACK_ERROR_UNKNOWN	Erro de Ataque Desconhecido: %s
ATTENDANCE_REWARD_QUESTION	Queres obter a tua recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Não podes usar este item enquanto um bónus está a ser adicionado.
ATTR_6TH_7TH_ADD_QUESTION2	Queres mesmo adicionar o bónus?
ATTR_6TH_7TH_CHANGE_FAIL	Não podes mudar o bónus.
ATTR_6TH_7TH_DESC1	a. Tens de adicionar os materiais requeridos pelo item para adicionares um 6º e 7º bónus
ATTR_6TH_7TH_DESC2	b. Cada Lasca do Poder aumenta a taxa de sucesso em 2%
ATTR_6TH_7TH_DESC3	c. Usa um Aditivo para aumentares ainda mais a taxa de sucesso
ATTR_6TH_7TH_DESC4	d. São necessárias 24 horas para adicionar um bónus Durante esse tempo, o NPC ficará com o item ao qual o bónus deverá ser adicionado. Assim que o processo estiver terminado, podes voltar a recolhê-lo.
ATTR_6TH_7TH_POSSIBILITY	Podes adicionar um bónus adicional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Taxa de sucesso: %.1f%%
AURA_DRAIN_PER	Taxa de absorção: %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Yang insuficiente para evoluir.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] O item transmitido não pode ser usado.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Itens equipados não podem ser transmitidos.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Não pode ser evoluída.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] A quantidade de itens actual não é suficiente para evoluir.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Não pode ser melhorada.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Apenas Roupas da Aura, Escudos, Colares, Brincos e Braceletes podem ser usados.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Itens vinculados não podem ser transmitidos.
AURA_ITEM_NEED_REGISTER	[Aura] Têm de ser inseridos itens.
AURA_LEVEL_STEP	Nvl%d (Fase %d)
AURA_MAX_LEVEL	[Aura] A Roupa da Aura atingiu o nível máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] O item transmitido será destruído.
AURA_OPEN_OTHER_WINDOW	Não podes fazer isto enquanto a janela de melhoramento, evolução ou transferência de estatísticas está aberta.
AURA_POSSIBLE_AURAITEM	[Aura] Só pode ser usada Roupa da Aura.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] A Roupa da Aura tem de ser inserida primeiro.
AURA_TITLE_ABSORB	Transmitir valores para a Roupa da Aura
AURA_TITLE_EVOLUTION	Evoluir Roupa da Aura
AURA_TITLE_GROWTH	Melhorar Roupa da Aura
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nvl%d (Fase %d) (Taxa de absorção %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Novos
AURA_TOOLTIP_NOW	Actuais
AURA_TOOLTIP_RESOURCE	Consumíveis
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Habilidades: Selecciona habilidades para combate e arrasta-as para os espaços. (Premium)
AUTO_TOOLTIP_LINE2	Dica: Podes alterar o intervalo de activação (em segundos) por baixo de cada habilidade.
AUTO_TOOLTIP_LINE3	Poções: Selecciona poções para combate e arrasta-as para os espaços. (Premium)
AUTO_TOOLTIP_LINE4	Dica: Poções de VD e MN serão activadas assim que a quantidade de cada um cair abaixo do valor em % mostrado sob cada poção.
AUTO_TOOLTIP_TITLE	Ajuda de Auto-Caça
BATTLE_POINT	Pontos de Combate
BEAD	Animasfera
BEAD_TIME_REMAINING_TO_GET	Animasfera carregada dentro de: %d min.
BNW_COIN	Moeda de Vidente
BUY_LIMIT_LEVEL	Limite de compra: %s
CANNOT_ATTACK_DEST_IN_SAFE	O combatente está muito longe.
CANNOT_ATTACK_SELF_IN_SAFE	Não posso atacar.
CANNOT_EQUIP_IN_EXCHANGE	Não podes alterar o teu equipamento enquanto negoceias.
CANNOT_EQUIP_IN_SHOP	Não podes mudar o teu equipamento enquanto negoceias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Não podes abrir uma Loja Privada numa área pública.
CANNOT_SHOOT_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SHOOT_EMPTY_ARROW	Preciso de Flechas!
CANNOT_SHOOT_SELF_IN_SAFE	Não posso fazer isto.
CANNOT_SKILL_APPROACH	Tenho a certeza que não posso chegar mais perto.
CANNOT_SKILL_ATTACK	Não posso atacar.
CANNOT_SKILL_BLUE	Não podes usar a Alma do Lobo Anil quando a Alma do Lobo Rubro está activada.
CANNOT_SKILL_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Não podes pescar sem uma cana equipada.
CANNOT_SKILL_HAVE_TO_RIDE	Preciso de um Cavalo para usar isto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Não tenho uma Garrafa Vazia.
CANNOT_SKILL_NEED_POISON_BOTTLE	Não tenho uma Garrafa de Veneno.
CANNOT_SKILL_NEED_TARGET	Quem é o alvo?
CANNOT_SKILL_NOT_ENOUGH_HP	Não tenho VD suficiente!
CANNOT_SKILL_NOT_ENOUGH_SP	Não tenho MN suficiente!
CANNOT_SKILL_NOT_HORSE_SKILL	Não posso usar isto enquanto estou montado.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Não posso usar esta Habilidade com esta arma.
CANNOT_SKILL_NOT_YET_LEARN	Não aprendi esta Habilidade.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Isto apenas afecta membros do grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Isto apenas afecta pessoas mortas.
CANNOT_SKILL_RED	Não podes usar a Alma do Lobo Rubro quando a Alma do Lobo Anil está activada.
CANNOT_SKILL_REMOVE_FISHING_ROD	Não posso usar esta Habilidade com uma Cana de Pesca.
CANNOT_SKILL_SELF_IN_SAFE	Não posso atacar daqui.
CANNOT_SKILL_USE_SELF	Não posso usar isto em mim mesmo.
CANNOT_SKILL_WAIT_COOLTIME	Ainda não posso usar esta Habilidade.
CANNOT_USE	Não podes usar isto.
CANNOT_WHISPER_DEST_REFUSE	%s bloqueou completamente o Segredar.	SA
CANNOT_WHISPER_NOT_LOGON	%s não está online.	SA
CANNOT_WHISPER_SELF_REFUSE	Não podes Segredar a alguém quando bloqueias completamente o Segredar.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armadura
CATEGORY_ARMOR_ARMOR_HEAD	Elmos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Disfarces
CATEGORY_COSTUMES_COSTUME_BODY	Disfarces
CATEGORY_COSTUMES_COSTUME_HAIR	Penteados
CATEGORY_COSTUMES_COSTUME_WEAPON	Skins de Arma
CATEGORY_COSTUMES_ETC	Outros
CATEGORY_COSTUMES_SASH	Faixas de Ombro
CATEGORY_DRAGON_STONE	Alquimia da Pedra do Dragão
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granada
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubi
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safira
CATEGORY_DRAGON_STONE_ETC	Outros
CATEGORY_EQUIPMENT_ARMOR	Equipamento
CATEGORY_EQUIPMENT_JEWELRY	Joalharia
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Outros
CATEGORY_ETC_ETC	Outros
CATEGORY_ETC_EVENT	Itens de Evento
CATEGORY_ETC_GIFTBOX	Cofres | Caixas
CATEGORY_ETC_MATRIMORY	Casamento
CATEGORY_ETC_PARTI	Livros de Arte da Guerra
CATEGORY_ETC_POLYMORPH	Mármores do Polimorfismo
CATEGORY_ETC_RECIPE	Produção de Poções
CATEGORY_ETC_SEAL	Vinculação
CATEGORY_FISHING_PICK	Pesca | Mineração
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picaretas
CATEGORY_FISHING_PICK_ETC	Outros
CATEGORY_FISHING_PICK_FISHING_POLE	Canas de Pesca
CATEGORY_FISHING_PICK_FOOD	Peixes
CATEGORY_FISHING_PICK_PICK_BOOK	Guias de Mineração
CATEGORY_FISHING_PICK_STONE	Minérios
CATEGORY_JEWELRY_ARMOR_EAR	Brincos
CATEGORY_JEWELRY_ARMOR_FOOTS	Sapatos
CATEGORY_JEWELRY_ARMOR_NECK	Colares
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismã
CATEGORY_JEWELRY_ARMOR_WRIST	Braceletes
CATEGORY_JEWELRY_ITEM_BELT	Cintos
CATEGORY_MOUNT_PET	Montadas | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Ovos de Pet
CATEGORY_MOUNT_PET_FREE_PET	Pets Evoluíveis
CATEGORY_MOUNT_PET_MOUNT	Montadas
CATEGORY_POTION	Poções
CATEGORY_POTION_ABILITY	Consumíveis
CATEGORY_POTION_ETC	Outros
CATEGORY_POTION_HAIRDYE	Tintas de Cabelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Livros da Amnésia
CATEGORY_SKILL_ETC	Outros
CATEGORY_SKILL_PAHAE	Guarda | Reforço
CATEGORY_SKILL_SKILL_BOOK	Livros de Habilidade
CATEGORY_TUNING	Melhoramentos
CATEGORY_TUNING_ETC	Outros
CATEGORY_TUNING_RESOURCE	Materiais
CATEGORY_TUNING_STONE	Pedras Espíritas
CATEGORY_UNIQUE	Itens Especiais
CATEGORY_UNIQUE_ABILITY	Consumíveis
CATEGORY_UNIQUE_ETC	Outros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Campainhas
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Adagas
CATEGORY_WEAPON_WEAPON_FAN	Leques
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanças
CATEGORY_WEAPON_WEAPON_QUIVER	Aljavas
CATEGORY_WEAPON_WEAPON_SWORD	Armas de Uma Mão
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armas de Duas Mãos
CHANGE_ALREADY_REGISTER	[Transmutação] Este item já foi submetido.
CHANGE_LOOK_CHANGE_ITEM	Queres transmutar este item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutação] Por favor primeiro remove o item que pretendes transmutar.
CHANGE_LOOK_COST	Custo de Transmutação: %s Yang
CHANGE_LOOK_DEL_ITEM	O item absorvido será apagado.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutação] Este item não pode ser transmutado.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutação] Não podes transmutar um item enquanto está equipado.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutação] Não podes submeter este item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutação] O item está vinculado.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutação] Por favor submete o item que queres transmutar.
CHANGE_LOOK_INSERT_ITEM	[Transmutação] Tens de submeter o item primeiro.
CHANGE_LOOK_NEED_MONEY	O teu Yang ou itens não são suficientes.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutação] Esta acção não é possível enquanto a janela de Transmutação está aberta.
CHANGE_LOOK_TITLE	Transmutação
CHANGE_LOOK_TITLE2	Transformação de Montada
CHANGE_PET_PLEASE_APPEND_FIRST	O pet tem de ser seleccionado primeiro.
CHANGE_TOOLTIP2_LINE1	Adiciona o item alvo à esquerda e o material à direita.
CHANGE_TOOLTIP2_LINE2	Clica na caixa de marcação para usares Yang ou um Token de Transformação e alterares a aparência da tua montada.
CHANGE_TOOLTIP2_LINE3	Usar um Token de Transformação altera a aparência da tua montada sem custo de Yang (isto consome o Token).
CHANGE_TOOLTIP2_LINE4	Ao alterar a aparência de uma montada com duração, a duração da montada permanece inalterada.
CHANGE_TOOLTIP2_LINE5	Se a montada alvo for permanente e a montada usada como material tiver uma duração, a montada irá ficar com a aparência alterada pelo período de duração da montada usada como material.
CHANGE_TOOLTIP_LINE1	Coloca à esquerda o item que queres transmutar.
CHANGE_TOOLTIP_LINE2	Coloca o outro item no lado direito.
CHANGE_TOOLTIP_LINE3	A aparência do item do lado esquerdo será alterada
CHANGE_TOOLTIP_LINE4	assim que confirmares a transmutação (V) e pagares Yang.
CHANGE_TOOLTIP_LINE5	Usar este item permite-te
CHANGE_TOOLTIP_LINE6	transmutares o teu item sem gastares Yang.
CHANGE_TOOLTIP_TITLE	Transmutação
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Não podes voltar ao ecrã de login.
CHANNEL_EMPTY_SERVER	Sem servidores
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	O canal está cheio! Por favor escolhe outro.
CHANNEL_NOT_FIND_INFO	Não podes obter esta informação no Canal.
CHANNEL_PVP	Duelo livre
CHANNEL_SELECT_CHANNEL	Escolhe o Canal
CHANNEL_SELECT_REGION	Escolhe a região.
CHANNEL_SELECT_SERVER	Escolhe o Servidor
CHANNEL_STATUS_BUSY	Ocupado
CHANNEL_STATUS_FULL	Cheio
CHANNEL_STATUS_OFFLINE	Desconhecido
CHANNEL_STATUS_RECOMMENDED	Recomendados
CHANNEL_STATUS_VACANT	Baixo
CHANNEL_TEST_SERVER	Servidor de testes
CHANNEL_TEST_SERVER_ADDR	Teste %s:%d
CHARACTER_CREATE_MODE	Criar Personagem
CHARACTER_NAME	Nome
CHARACTER_SELECT_MODE	Seleccionar Personagem
CHARGE_BEAD_QUESTION	Animasferas necessárias: %d Queres continuar?
CHAT_ALL	Tudo
CHAT_BLOCK	Bloquear
CHAT_DICE_INFO	Lançar
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contém palavras inválidas.
CHAT_LOG	Mostrar mensagens antigas [L]
CHAT_LOG_TITLE	Mostrar Log
CHAT_NORMAL	Normal
CHAT_NOTICE	Servidor
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar
CHAT_SEND_MEMO	Enviar Segredo [Shift+Enter]
CHAT_SHOUT	Chamar
