TELEPORT_PANEL_TITLE	teletransportador
TELEPORT_PANEL_TAB_EMPIRES	reinos
TELEPORT_PANEL_TAB_NEUTRAL	neutros
TELEPORT_PANEL_TAB_DUNGEONS	mapas
TELEPORT_PANEL_INFO_TITLE	Descrição
TELEPORT_PANEL_INFO_BOSS	Chefes : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Não há chefe neste mapa
TELEPORT_PANEL_INFO_MINLV	Nível mín.:
TELEPORT_PANEL_INFO_MINLV_EMPTY	Nível mínimo: Sem nível mínimo
TELEPORT_PANEL_INFO_MAXLV	Máx. Nível :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Nível mín.: Sem nível máximo
TELEPORT_PANEL_INFO_COST	Custo :
TELEPORT_PANEL_INFO_COST_EMPTY	Custo: Sem custo
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Elemento obrigatório
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Nenhum item necessário
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Guildas - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	vila de Andra
TELEPORT_MAP_SEUNGRYONG	Vale dos Orcs
TELEPORT_MAP_YONGBI	deserto yongbi
TELEPORT_MAP_SOHAN	Montanha Sohan
TELEPORT_MAP_DOYYUMHWAN	Terra do fogo
TELEPORT_MAP_SNAKEFIELD	campo de cobra
TELEPORT_MAP_GHOSTWOOD	Floresta Fantasma
TELEPORT_MAP_REDWOOD	Madeira vermelha
TELEPORT_MAP_LAND_OF_GIANTS	Terra de gigantes
TELEPORT_MAP_SPIDERDUNGEON_01	Calabouço da Aranha
TELEPORT_MAP_SPIDERDUNGEON_02	Calabouço da Aranha 2
TELEPORT_MAP_SPIDERDUNGEON_03	Calabouço da Aranha 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Calabouço da Aranha 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Calabouço da Aranha 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Calabouço da Aranha 3
TELEPORT_MAP_BAHIA_NEFRIT	baía nefrita
TELEPORT_MAP_TRUENO	Montanhas do Trovão
TELEPORT_MAP_GAUTAMA	Penhasco Gautama
TELEPORT_MAP_CABO_DRAG	capa de fogo do dragão
TELEPORT_MAP_BOSQ_ENCANT	Bosque encantado
TELEPORT_MAP_DEAMONTOWER	torre demônio
TELEPORT_MAP_DEVILS_CATACOMB	catacumbas
TELEPORT_MAP_SKIPIA_DUNGEON	Gruta do Banimento
TELEPORT_MAP_SKIPIA_DUNGEON_02	Gruta do Banimento 2
TELEPORT_MAP_BLAZING_PURGATORY	Fortaleza do Dragão Vermelho
TELEPORT_MAP_NEMERES_WARTE	A espera de Nemere
TELEPORT_MAP_MAP_1_DESC	Ah sim, o lugar onde toca música nostálgica. Em qualquer caso, este é o centro do comércio. Se você quiser comprar algo, você sempre encontrará algo aqui! Mas caso contrário, não há muito o que encontrar aqui se você já pertence aos lutadores mais fortes.
TELEPORT_MAP_MAP_2_DESC	Uma área importante quando você ainda é jovem. Aqui você encontrará monstros fracos que oferecem boa experiência até o nível 30. Além disso, um dos limites das masmorras de macacos aqui.
