NPC_SEARCH	Cãutare Npc
NPC_SEARCH_TEXT	Apare pe urmãtoarele hãr?i:
MOUNT_SOHAN_MAP_NAME	Muntele Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_YONGBI_MAP_NAME	De?ertul Yongbi
TOURNAMENT_ALL_CHARACTER	Toate Caracterele
NORMAL_EVENT_TIME	De la: %s La: %s
PVP_EVENT_TIME	Începe la: %s
NONE_AFFECT	Niciunul Afecteazã
EVENT_COLORFULL_TEXT	|cFF84A5B9 %s|h|r
ALL_KINGDOMS	|cFF97AE99 Toate regatele:|h|r
RED_KINGDOM	|cFFFBB497 Regatul Ro?u:|h|r
BLUE_KINGDOM	|cFF8CADDB Regatul Albastru:|h|r
YELLOW_KINGDOM	|cFFFDE696 Regatul Galben:|h|r
EVENT_TOOLTIP_TITLE	Evenimente pe %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Nu existã evenimente în aceastã zi.
DOUBLE_BOSS_LOOT_EVENT	Pradã dublu pentru ?ef
DOUBLE_METIN_LOOT_EVENT	Pradã dublã Metin
DOUBLE_MISSION_BOOK_EVENT	Pradã de carte cu dublã misiune
DUNGEON_COOLDOWN_EVENT	Timp de rãcire pentru temni?ã
DUNGEON_TICKET_LOOT_EVENT	Eveniment de Carte
EMPIRE_WAR_EVENT	Rãzboiul Imperiului (Lv %d - Lv %d)
MOONLIGHT_EVENT	Cufere Moonlight
TOURNAMENT_EVENT	Turneu PvP(%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Povestea Norocului
HALLOWEEN_EVENT	Eveniment de Halloween
EVENT_MANAGER_WINDOW_TITLE	Calendarul evenimentelor: %s - %d
ALL_CHANNEL	Toate canalele
ONLY_CHANNEL	Doar canalul %d
BONUS_EVENT	Eveniment bonus:
BONUS_END_IN	Se terminã în %s
BONUS_START_IN	Începe în %s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Urmãtorul eveniment
ITEM_DROP_EVENT	Eveniment de eliminare a articolului: %d%%
YANG_DROP_EVENT	Eveniment Yang Drop: %d%%
EXP_EVENT	Event Drop Exp: %d%%
EVENT_MONTH_1	Ianuarie
EVENT_MONTH_2	Februarie
EVENT_MONTH_3	Martie
EVENT_MONTH_4	Aprilie
EVENT_MONTH_5	Mai
EVENT_MONTH_6	Iunie
EVENT_MONTH_7	Iulie
EVENT_MONTH_8	August
EVENT_MONTH_9	Septembrie
EVENT_MONTH_10	Octombrie
EVENT_MONTH_11	Noiembrie
EVENT_MONTH_12	Decembrie
ALTERNATIVE	Alternative
EMOJI_CHARACTER_STATS_ADD	| Eemoji / key_ctrl | e + | Eemoji / key_lclick | e - Adauga x10
MAP_NAME_25	Tara Îngheþatã
MAP_NAME_26	Satul Îngheþat
CUBE_CATEGORY43	Efecte arme
CUBE_CATEGORY44	Efecte armuri
CUBE_CATEGORY45	Pet-uri
CUBE_CATEGORY46	Mount-uri
CUBE_CATEGORY47	Costume eºarfã
CUBE_CATEGORY48	Frizuri
CUBE_CATEGORY49	Costume armurã
CUBE_CATEGORY50	Costume armã
REFINE_CURRENT_PERCENTAGE	[i] Procent actual: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Voteazã pentru bonus
LOGIN_FAILURE_UPDATE	Trebuie sã actualizezi jocul.
MULTIPLE_BUY_PRICE	Preþ: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Pentru a utiliza cumpãrãturi multiple.
GAME_NOT_LOADED	Jocul se încarcã, reîncearcã în câteva secunde.
EMPTY_SLOT	%d. slot liber
PET_CANNOT_BE_EVOLVED	Încã nu poþi evolua acest pet.
SKILL_SELECT_1A	Corporal
SKILL_SELECT_1B	Mental
SKILL_SELECT_2A	Corp la Corp
SKILL_SELECT_2B	Arc
SKILL_SELECT_3A	Arme Magice
SKILL_SELECT_3B	Magie Neagrã
SKILL_SELECT_4A	Dragon
SKILL_SELECT_4B	Vindecare
SKILL_SELECT_DIALOG1	Trebuie sã alegi o doctrinã!
SKILL_SELECT_DIALOG2	Doreºti sã înveþi stilul: %s?
NEW_DETAILS_1	Rezistenþã la Semi-Oameni
NEW_DETAILS_1_TOOLTIP	Rezistenþã la Semi-Oameni: Scade daunele primite de la Semi-Oameni.
NEW_DETAILS_2	Apãrare Talisman
NEW_DETAILS_2_TOOLTIP	Apãrare Talisman: Rezistã la bonusurile talismanelor.
NEW_DETAILS_5	Tare împotriva monºtrilor Zodiac
NEW_DETAILS_5_TOOLTIP	Tare împotriva monºtrilor Zodiac: creºte daunele fãcute pe monºtrii Zodiac.
NEW_DETAILS_6	Tare împotriva Metinelor
NEW_DETAILS_6_TOOLTIP	Tare împotriva Metinelor: creºte daunele fãcute pe Metine.
NEW_DETAILS_7	Tare împotriva ªefilor
NEW_DETAILS_7_TOOLTIP	Tare împotriva ªefilor: creºte daunele fãcute pe ªefi.
NEW_DETAILS_8	Rezistenþã la Monºtri
NEW_DETAILS_8_TOOLTIP	Rezistenþã la Monºtri: Scade daunele primite de la Monºtri.
NEW_DETAILS_9	Posibilitatea de a avea daunce critice (PVM)
NEW_DETAILS_10	Întrerupe apãrarea sabie
NEW_DETAILS_10_TOOLTIP	Întrerupe apãrarea sabie: scade apãrarea rezistenþã la sabie a inamicului.
NEW_DETAILS_11	Întrerupe apãrarea armei de douã-mâini
NEW_DETAILS_11_TOOLTIP	Întrerupe apãrarea armei de douã-mâini: scade apãrarea rezistenþã armei de douã-mâini a inamicului.
NEW_DETAILS_12	Întrerupe apãrarea pumnale
NEW_DETAILS_12_TOOLTIP	Întrerupe apãrarea pumnale: scade apãrarea rezistenþã la pumnale a inamicului.
NEW_DETAILS_13	Întrerupe apãrarea sageþi
NEW_DETAILS_13_TOOLTIP	Întrerupe apãrarea sageþi: scade apãrarea rezistenþã la sageþi a inamicului.
NEW_DETAILS_14	Întrerupe apãrarea evantai
NEW_DETAILS_14_TOOLTIP	Întrerupe apãrarea evantai: scade apãrarea rezistenþã la evantai a inamicului.
NEW_DETAILS_15	Întrerupe apãrarea clopot
NEW_DETAILS_15_TOOLTIP	Întrerupe apãrarea clopot: scade apãrarea rezistenþã la clopot a inamicului.
NEW_DETAILS_16	Tare împotriva monºtrilor Rune
NEW_DETAILS_16_TOOLTIP	Tare împotriva monºtrilor Rune: creºte daunele fãcute pe monºtrii Rune.
NEW_DETAILS_17	Valorea atacului
NEW_DETAILS_17_TOOLTIP	Creºte valoarea atacului
PET_MISSING1_1	Pui
PET_MISSING1_2	Sãlbatic
PET_MISSING1_3	Curajos
PET_MISSING1_4	Eroic
COOLDOWN_IN_PROGRESS	Aºteaptã!
PERMANENT_EFFECT	Permanent
TARGET_INFO_RACE_RUNE	Rune
CUBE_LOSE_BONUSES_ALERT	Continuând vei pierde bonusurile, eºti sigur?
ACCE_FAILURE_CLEAN	Nici un bonus nu poate fi ºters.
ACCE_DO_YOU_CLEAN	Vrei sã ºtergi toate bonusurile disponibile?
ACCE_REFINE_COST	Pret absorbþie: %s
ACCE_ABSORB_CHANCE	Ratã de absorbire: %d%%
ACCE_ABSORB_CHANCE2	Ratã de absorbire: %d%% ~ %d%%
MAP_SAVEPOINT_NAME_0	Necunoscutã
MAP_SAVEPOINT_NAME_214	Sate
MAP_SAVEPOINT_NAME_70	Þara Giganþilor
MAP_SAVEPOINT_NAME_69	Câmpul ªerpilor
MAP_SAVEPOINT_NAME_72	Grota Exilului 1
MAP_SAVEPOINT_NAME_73	Grota Exilului 2
MAP_SAVEPOINT_NAME_67	Lungsam
MAP_SAVEPOINT_NAME_68	Pãdurea Roºie
MAP_SAVEPOINT_NAME_64	Valea Seungryong
MAP_SAVEPOINT_NAME_65	Templul Hwang
MAP_SAVEPOINT_NAME_62	Doyyumhwaji
MAP_SAVEPOINT_NAME_104	Subteran 1
MAP_SAVEPOINT_NAME_71	Subteran 2
MAP_SAVEPOINT_NAME_217	Subteran 3
MAP_SAVEPOINT_NAME_219	Lobby Normal
MAP_SAVEPOINT_NAME_215	Lobby Special
MAP_SAVEPOINT_NAME_61	Muntele Sohan
MAP_SAVEPOINT_NAME_63	Deºertul Yongbi
MAP_SAVEPOINT_NAME_303	Baia Nefrite
MAP_SAVEPOINT_NAME_304	Munþii Fulgerului
MAP_SAVEPOINT_NAME_302	Stâncile Gautama
MAP_SAVEPOINT_NAME_301	Terenul Dragonilor
MAP_SAVEPOINT_NAME_210	Pãdure
SAVEPOINT_TELEPORTDIALOG	Vrei sã te teleportezi pe aceea poziþie?
