TELEPORT_PANEL_TITLE	Teleporter
TELEPORT_PANEL_TAB_EMPIRES	Regate
TELEPORT_PANEL_TAB_NEUTRAL	Neutre
TELEPORT_PANEL_TAB_DUNGEONS	hãr?i
TELEPORT_PANEL_INFO_TITLE	Descriere
TELEPORT_PANEL_INFO_BOSS	?efii
TELEPORT_PANEL_INFO_BOSS_EMPTY	Nu existã niciun ?ef pe aceastã hartã
TELEPORT_PANEL_INFO_MINLV	Nivel min:
TELEPORT_PANEL_INFO_MINLV_EMPTY	Nivel minim: Nu existã un nivel minim
TELEPORT_PANEL_INFO_MAXLV	Max. Nivel:
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Nivel minim: Fãrã nivel maxim
TELEPORT_PANEL_INFO_COST	Cost:
TELEPORT_PANEL_INFO_COST_EMPTY	Cost: Fãrã cost
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Element necesar
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Nu este necesar niciun articol
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Bresle - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	Satul Andra
TELEPORT_MAP_SEUNGRYONG	Valea Orcilor
TELEPORT_MAP_YONGBI	De?ertul yongbi
TELEPORT_MAP_SOHAN	Muntele Sohan
TELEPORT_MAP_DOYYUMHWAN	Teren de foc
TELEPORT_MAP_SNAKEFIELD	Câmp de ?erpi
TELEPORT_MAP_GHOSTWOOD	Pãdurea Fantomã
TELEPORT_MAP_REDWOOD	lemn rosu
TELEPORT_MAP_LAND_OF_GIANTS	?ara uria?ilor
TELEPORT_MAP_SPIDERDUNGEON_01	Temnita Pãianjenului
TELEPORT_MAP_SPIDERDUNGEON_02	Temnita Pãianjenului 2
TELEPORT_MAP_SPIDERDUNGEON_03	Temnita Pãianjenului 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Temnita Pãianjenului 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Temnita Pãianjenului 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Temnita Pãianjenului 3
TELEPORT_MAP_BAHIA_NEFRIT	Golf nefrit
TELEPORT_MAP_TRUENO	Mun?ii Thunder
TELEPORT_MAP_GAUTAMA	Gautama Cliff
TELEPORT_MAP_CABO_DRAG	Pelerinã de foc dragon
TELEPORT_MAP_BOSQ_ENCANT	Pãdurea fermecatã
TELEPORT_MAP_DEAMONTOWER	Turnul demonului
TELEPORT_MAP_DEVILS_CATACOMB	Catacombe
TELEPORT_MAP_SKIPIA_DUNGEON	Grota Exilului
TELEPORT_MAP_SKIPIA_DUNGEON_02	Grota Exilului 2
TELEPORT_MAP_BLAZING_PURGATORY	Cetatea Dragonului Ro?u
TELEPORT_MAP_NEMERES_WARTE	Nemere a?teaptã
TELEPORT_MAP_MAP_1_DESC	Da, locul unde cântã muzicã nostalgicã. În orice caz, acesta este centrul comer?ului. Dacã vrei sã cumperi ceva, vei gãsi mereu ceva aici! Dar în rest, nu prea sunt multe de gãsit aici dacã apar?ine?i deja celor mai puternici luptãtori.
TELEPORT_MAP_MAP_2_DESC	Un domeniu important când e?ti încã tânãr. Aici vei gãsi mon?tri slabi care î?i oferã o experien?ã bunã pânã la nivelul 30. De asemenea, una dintre temni?ele maimu?elor limiteazã aici.
TELEPORT_MAP_GUILDZONE_DESC	Un domeniu important pentru bresle. Construim aici! Dar nu numai atât, mon?trii pot fi gãsi?i ?i aici. Sunt agresivi ?i vor ataca singuri. Jucãtorii tineri pot avea dificultã?i aici, dar pute?i jefui articole bune aici.
TELEPORT_MAP_SEUNGRYONG_DESC	Orc Valley este locul perfect pentru a urca de la nivelul 20 la nivelul 50. De asemenea, Orc Valley are una dintre cele mai populare loca?ii Ferma Metin. ?eful de pe aceastã hartã este ?eful orc. Acesta este adesea supraîncãrcat, a?a cã ai grijã întotdeauna la Tipul Galben!
