NPC_SEARCH	Npc Arama
NPC_SEARCH_TEXT	Asagidaki haritalarda ortaya çikar:
MOUNT_SOHAN_MAP_NAME	Sohan Dagi
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_YONGBI_MAP_NAME	Yongbi Çölü
TOURNAMENT_ALL_CHARACTER	Tüm Karakterler
NORMAL_EVENT_TIME	Kimden: %s Kime: %s
PVP_EVENT_TIME	Su saatte basliyor: %s
NONE_AFFECT	Etkisi Yok
EVENT_COLORFULL_TEXT	|cFF84A5B9 %s|h|r
ALL_KINGDOMS	|cFF97AE99 Tüm Kralliklar:|h|r
RED_KINGDOM	|cFFFBB497 Kirmizi Krallik:|h|r
BLUE_KINGDOM	|cFF8CADDB Mavi Krallik:|h|r
YELLOW_KINGDOM	|cFFFDE696 Sari Krallik:|h|r
EVENT_TOOLTIP_TITLE	%s üzerindeki etkinlikler:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Bu günde etkinlik yok.
DOUBLE_BOSS_LOOT_EVENT	Çifte Boss Ganimet
DOUBLE_METIN_LOOT_EVENT	Çift Metin Ganimet
DOUBLE_MISSION_BOOK_EVENT	Çifte Görev Kitap Ganimetleri
DUNGEON_COOLDOWN_EVENT	Zindan Bekleme Süresi
DUNGEON_TICKET_LOOT_EVENT	Kitap Etkinligi
EMPIRE_WAR_EVENT	Imparatorluk Savasi (Sv %d - Sv %d)
MOONLIGHT_EVENT	Ayisigi Sandiklari
TOURNAMENT_EVENT	PvP Turnuvasi(%s - Sv %d - Sv %d)
WHELL_OF_FORTUNE_EVENT	Sans Çarki
HALLOWEEN_EVENT	Cadilar Bayrami Etkinligi
EVENT_MANAGER_WINDOW_TITLE	Etkinlik Takvimi: %s - %d
ALL_CHANNEL	Tüm Kanallar
ONLY_CHANNEL	Yalnizca Kanal %d
BONUS_EVENT	Bonus Etkinlik:
BONUS_END_IN	%s ile bitiyor
BONUS_START_IN	%s ile basla
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Sonraki Etkinlik
ITEM_DROP_EVENT	Esya Düsürme Etkinligi: %d%%
YANG_DROP_EVENT	Yang Düsüs Etkinligi: %d%%
EXP_EVENT	Deneyim Düsürme Etkinligi: %d%%
EVENT_MONTH_1	Ocak
EVENT_MONTH_2	Subat
EVENT_MONTH_3	Mart
EVENT_MONTH_4	Nisan
EVENT_MONTH_5	Mayis
EVENT_MONTH_6	Haziran
EVENT_MONTH_7	Temmuz
EVENT_MONTH_8	Agustos
EVENT_MONTH_9	Eylül
EVENT_MONTH_10	Ekim
EVENT_MONTH_11	Kasim
EVENT_MONTH_12	Aralik
ALTERNATIVE	Alternatifler
EMOJI_CHARACTER_STATS_ADD	| Eemoji / key_ctrl | e + | Eemoji / key_lclick | e - x10 ekle
MAP_NAME_25	Kis Arazisi
MAP_NAME_26	Donmus Köy
CUBE_CATEGORY43	Silah Efekt
CUBE_CATEGORY44	Zirh Efekt
CUBE_CATEGORY45	Pet
CUBE_CATEGORY46	Binek
CUBE_CATEGORY47	Bandy Kostümü
CUBE_CATEGORY48	Frizurák
CUBE_CATEGORY49	Zirh Kostümleri
CUBE_CATEGORY50	Silah Kostümleri
REFINE_CURRENT_PERCENTAGE	[i] Yuzde orani: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Bonus icin oy verin
LOGIN_FAILURE_UPDATE	Oyunu guncellemeniz gerekiyor.
MULTIPLE_BUY_PRICE	Ücret: %s Yang
