TELEPORT_PANEL_TITLE	isinlayici
TELEPORT_PANEL_TAB_EMPIRES	kralliklar
TELEPORT_PANEL_TAB_NEUTRAL	nötrler
TELEPORT_PANEL_TAB_DUNGEONS	haritalar
TELEPORT_PANEL_INFO_TITLE	Tanim
TELEPORT_PANEL_INFO_BOSS	patronlar : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Bu haritada patron yok
TELEPORT_PANEL_INFO_MINLV	Min.Seviye :
TELEPORT_PANEL_INFO_MINLV_EMPTY	Minimum Seviye : Minimum seviye yok
TELEPORT_PANEL_INFO_MAXLV	Maks. Seviye :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Minimum Seviye : Maksimum seviye yok
TELEPORT_PANEL_INFO_COST	Maliyet :
TELEPORT_PANEL_INFO_COST_EMPTY	Maliyet : Maliyetsiz
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Gerekli Öge
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Öge gerekli degil
TELEPORT_MAP_MAP_1	Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Loncalar - Jungrang | Waryong | Imha
TELEPORT_MAP_ANDRA	Andra köyü
TELEPORT_MAP_SEUNGRYONG	Ork Vadisi
TELEPORT_MAP_YONGBI	yongbi çölü
TELEPORT_MAP_SOHAN	Sohan Dagi
TELEPORT_MAP_DOYYUMHWAN	yangin yeri
TELEPORT_MAP_SNAKEFIELD	yilan alani
TELEPORT_MAP_GHOSTWOOD	hayalet orman
TELEPORT_MAP_REDWOOD	kirmizi ahsap
TELEPORT_MAP_LAND_OF_GIANTS	devler diyari
TELEPORT_MAP_SPIDERDUNGEON_01	Örümcek Zindani
TELEPORT_MAP_SPIDERDUNGEON_02	Örümcek Zindani 2
TELEPORT_MAP_SPIDERDUNGEON_03	Örümcek Zindani 3
TELEPORT_MAP_SPIDERDUNGEON_01_1	Örümcek Zindani 1
TELEPORT_MAP_SPIDERDUNGEON_01_2	Örümcek Zindani 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Örümcek Zindani 3
TELEPORT_MAP_BAHIA_NEFRIT	nefrit körfezi
TELEPORT_MAP_TRUENO	Thunder Daglari
TELEPORT_MAP_GAUTAMA	Gautama Kayaligi
TELEPORT_MAP_CABO_DRAG	ejderha ates pelerini
TELEPORT_MAP_BOSQ_ENCANT	Büyülü Orman
TELEPORT_MAP_DEAMONTOWER	seytan kulesi
TELEPORT_MAP_DEVILS_CATACOMB	yeralti mezarlari
TELEPORT_MAP_SKIPIA_DUNGEON	sürgün magarasi
TELEPORT_MAP_SKIPIA_DUNGEON_02	sürgün magarasi 2
TELEPORT_MAP_BLAZING_PURGATORY	Kizil Ejder Kalesi
TELEPORT_MAP_NEMERES_WARTE	Nemere'nin bekleyisi
TELEPORT_MAP_MAP_1_DESC	Ah evet, nostaljik müzigin çaldigi yer. Her durumda, burasi ticaretin merkezidir. Bir sey satin almak istiyorsaniz, her zaman burada bir seyler bulacaksiniz! Ama aksi takdirde, zaten en güçlü dövüsçülere aitseniz, burada bulabileceginiz pek bir sey yok.
TELEPORT_MAP_MAP_2_DESC	Hala gençken önemli bir alan. Burada 30. seviyeye kadar size iyi bir deneyim sunan zayif canavarlar bulacaksiniz. Ayrica maymun zindanlarindan biri burada sinirli.
TELEPORT_MAP_GUILDZONE_DESC	Loncalar için önemli bir alan. Burada insa ediyoruz! Ama sadece bu degil, canavarlar da burada bulunabilir. Agresiftirler ve tek baslarina saldirirlar. Genç oyuncular burada zor zamanlar geçirebilir, ancak burada iyi esyalari yagmalayabilirsiniz.
TELEPORT_MAP_SEUNGRYONG_DESC	Ork Vadisi, 20. seviyeden 50. seviyeye çikmak için mükemmel bir yerdir. Ayrica Ork Vadisi, en popüler Metin Çiftligi konumlarindan birine sahiptir. Bu haritadaki patron patron ork. Bu genellikle asiri yüklenir, bu yüzden her zaman Sari Adam'a dikkat edin!
TELEPORT_MAP_YONGBI_DESC	Sicak hava, sandaletlerde kum. Sevmezsin? O zaman buradan uzak dursan iyi olur. Ama burada kesfedilecek çok sey var. Burada iki maymun zindani bitisiktir, örümcek zindanina ve yilan alanina da buradan ulasilabilir.
