//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
// 워프
m	1413	1453	0	0	0	0	1m	100	1	10026
// 다나까 -----------------------------------------------------------------------------------
// Quest NPC ---------------------------------------------------------------------------------
m	374	1411	0	0	0	0	60s	100	1	20359
m	1463	513	0	0	0	0	60s	100	1	20359
m	467	5030	0	0	0	0	60s	100	1	20359
m	243	1422	0	0	0	5	60s	100	1	20371

//공성맵 NPC
m	539	1424	0	0	0	0	60s	100	1	20097
m	156	700	0	0	0	0	60s	100	1	20098
m	985	132	0	0	0	0	60s	100	1	20099
m	750	610	0	0	0	0	60s	100	1	20409
