//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum Teleporter
// 군직 NPC
m	622	557	0	0	0	1	1m	100	1	20300
m	625	556	0	0	0	1	1m	100	1	20301
m	629	555	0	0	0	1	1m	100	1	20302
m	633	554	0	0	0	1	1m	100	1	20303

m	644	551	0	0	0	1	1m	100	1	20304
m	647	550	0	0	0	1	1m	100	1	20305
m	651	549	0	0	0	1	1m	100	1	20306
m	654	548	0	0	0	1	1m	100	1	20307
// 상점주인--------------------------------------------------------------------------
m	613	564	0	0	0	2	1m	100	1	20023
m	592	557	0	0	0	1	1m	100	1	9001
//m	595	557	0	0	0	1	1m	100	1	9007
m	600	557	0	0	0	3	1m	100	1	9013
m	692	581	0	0	0	1	1m	100	1	20369
m	596	605	0	0	0	5	1m	100	1	9002
m	602	605	0	0	0	5	1m	100	1	20017
m	678	565	0	0	0	8	1m	100	1	9003
//m	607	612	0	0	0	8	1m	100	1	9004
m	675	561	0	0	0	8	1m	100	1	20005
m	679	568	0	0	0	8	1m	100	1	20086
//m	679	568	0	0	0	8	1m	100	1	20024
//m	674	607	0	0	0	6	1m	100	1	9005
m	680	609	0	0	0	7	1m	100	1	20087
m	681	607	0	0	0	7	1m	100	1	20022
m	633	622	0	0	0	2	1m	100	1	9006
m	672	556	0	0	0	8	1m	100	1	20016
//m	556	627	0	0	0	3	1m	100	1	20094
//m	555	625	0	0	0	3	1m	100	1	20086
m	553	615	0	0	0	3	1m	100	1	20378
//m	556	630	0	0	0	3	1m	100	1	20006
m	555	622	0	0	0	3	1m	100	1	20090
m	558	632	0	0	0	3	1m	100	1	20377
m	554	619	0	0	0	3	1m	100	1	20092
//m	555	538	0	0	0	3	1m	100	1	20380
m	555	532	0	0	0	3	1m	100	1	20018
//m	555	527	0	0	0	3	1m	100	1	20021
m	657	631	0	0	0	7	1m	100	1	20095
m	682	626	0	0	0	1	1m	100	1	60003
m	686	628	0	0	0	1	1m	100	1	20503 //npc de gaya
m	684	627	0	0	0	5	1m	100	1	20504 //mercado gaya
m	670	549	0	0	0	8	1m	100	1	20091
m	691	570	0	0	0	4	1m	100	1	20381
// 어부들----------------------------------------------------------------------------
m	354	327	0	0	0	0	1m	100	1	9009
m	325	405	0	0	0	0	1m	100	1	9009
m	251	874	0	0	0	0	1m	100	1	9009
m	195	937	0	0	0	0	1m	100	1	9009
m	304	1186	0	0	0	0	1m	100	1	9009
m	525	1147	0	0	0	0	1m	100	1	9009
m	591	1166	0	0	0	0	1m	100	1	9009
m	680	379	0	0	0	0	1m	100	1	9009
m	821	297	0	0	0	0	1m	100	1	9009
m	731	659	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
//m	623	630	0	0	0	5	1m	100	1	20008
//m	629	471	0	0	0	0	1m	100	1	20023
m	718	577	0	0	0	1	1m	100	1	20349
//m	687	475	0	0	0	0	1m	100	1	20002
//m	698	513	0	0	0	0	1m	100	1	20003
//g	653	508	0	0	0	0	1m	100	1	11003
m	597	511	0	0	0	0	1m	100	1	20005
//m	582	578	0	0	0	0	1m	100	1	20006
m	713	605	0	0	0	0	1m	100	1	20011
//m	695	657	0	0	0	0	1m	100	1	20018
//g	714	566	0	0	0	0	1m	100	1	12007
// 워프 -----------------------------------------------------------------------------------
m	405	73	0	0	0	0	1m	100	1	10001
// 워프 NPC
//m	76	601	0	0	0	3	1m	100	1	20009
//m	555	625	0	0	0	3	1m	100	1	9012
//m	939	1045	0	0	0	3	1m	100	1	10081
// 길드
m	647	582	0	0	0	0	1m	100	1	11000
m	657	619	0	0	0	0	1m	100	1	11001
// 근면의 훈장 이벤트용 NPC
m	653	508	1	1	0	0	1m	100	1	20041
// 다나까 -----------------------------------------------------------------------------------
// QuestNPC-------------------------------------------------------------------------------
m	573	531	0	0	0	0	1m	100	1	20355
m	614	676	0	0	0	6	1m	100	1	20354
m	60	1118	0	0	0	0	1m	100	1	20358
m	582	347	0	0	0	0	1m	100	1	20357
m	896	610	0	0	0	0	1m	100	1	20084
// 이벤트용 NPC
//m	545	412	0	0	0	0	1m	100	1	20087

// over9제련NPC

m	640	663	0	0	0	3	1m	100	1	20001
m	609	614	0	0	0	3	1m	100	1	20089
//m	559	635	0	0	0	3	1m	100	1	20093
m	628	483	0	0	0	1	1m	100	1	20026 //Tienda de runa
