//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// 군직 NPC
m	623	595	0	0	0	1	1m	100	1	20320
m	627	595	0	0	0	1	1m	100	1	20321
m	631	595	0	0	0	1	1m	100	1	20322
m	635	595	0	0	0	1	1m	100	1	20323

m	645	595	0	0	0	1	1m	100	1	20324
m	649	595	0	0	0	1	1m	100	1	20325
m	653	595	0	0	0	1	1m	100	1	20326
m	657	595	0	0	0	1	1m	100	1	20327
// 상점 주인들
m	673	645	0	0	0	6	1m	100	1	20023
m	677	659	0	0	0	6	1m	100	1	9001
m	674	664	0	0	0	1	1m	100	1	9013
//m	675	663	0	0	0	6	1m	100	1	9007
m	676	617	0	0	0	7	1m	100	1	9002
m	672	611	0	0	0	7	1m	100	1	20017
m	590	689	0	0	0	4	1m	100	1	9003
m	609	596	0	0	0	2	1m	100	1	9005
m	588	633	0	0	0	1	1m	100	1	9006
m	659	697	0	0	0	1	1m	100	1	20369
m	598	700	0	0	0	5	1m	100	1	20016
m	604	681	0	0	0	6	1m	100	1	20381
m	612	677	0	0	0	4	1m	100	1	60003
m	615	680	0	0	0	4	1m	100	1	20503
m	614	678	0	0	0	4	1m	100	1	20504

m	603	688	0	0	0	6	1m	100	1	20095 //Seon-Hae
//m	592	672	0	0	0	2	1m	100	1	20021
m	590	674	0	0	0	2	1m	100	1	20018 //Baek-Go
//m	588	676	0	0	0	2	1m	100	1	20380

m	570	689	0	0	0	6	1m	100	1	20090
//m	573	686	0	0	0	6	1m	100	1	20006
m	569	690	0	0	0	6	1m	100	1	20092
m	574	685	0	0	0	6	1m	100	1	20377
m	568	691	0	0	0	6	1m	100	1	20378
//m	571	688	0	0	0	6	1m	100	1	20086 //Hand-Up
m	601	700	0	0	0	5	1s	100	1	20091
//m	572	687	0	0	0	6	1m	100	1	20094

m	592	691	0	0	0	4	1m	100	1	20086
//m	592	691	0	0	0	4	1m	100	1	20024
m	588	687	0	0	0	4	1m	100	1	20005
m	600	669	0	0	0	4	1m	100	1	20087
m	598	667	0	0	0	4	1m	100	1	20022
// 어부들----------------------------------------------------------------------------
m	675	539	0	0	0	0	1m	100	1	9009
m	742	879	0	0	0	0	1m	100	1	9009
m	206	552	0	0	0	0	1m	100	1	9009
m	218	679	0	0	0	0	1m	100	1	9009
m	221	865	0	0	0	0	1m	100	1	9009
m	231	976	0	0	0	0	1m	100	1	9009
m	234	1077	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	549	610	0	0	0	2	1m	100	1	20349
//m	581	620	0	0	0	1	1m	100	1	20008
//m	692	577	0	0	0	0	1m	100	1	20023
//m	554	597	1	1	0	0	1m	100	1	20002
//m	553	663	1	1	0	0	1m	100	1	20003
//g	659	772	1	1	0	0	1m	100	1	11003
//m	717	633	1	1	0	0	1m	100	1	20006
m	655	553	0	0	0	0	1m	100	1	20011
//g	533	599	1	1	0	0	1m	100	1	12007
// 워프-----------------------------------------------------------------------------------
m	876	1127	0	0	0	0	1m	100	1	10003
// 워프용 npc
//m	908	87	0	0	0	0	1m	100	1	20009
//m	519	512	0	0	0	0	1m	100	1	9012
//m	614	116	0	0	0	3	1m	100	1	10085

// 길드
m	633	640	0	0	0	0	1m	100	1	11002
m	623	617	0	0	0	0	1m	100	1	11003
// 근면의 훈장 이벤트용 NPC
m	659	772	1	1	0	0	1m	100	1	20041
// 다나까 -----------------------------------------------------------------------------------
// QuestNPC-------------------------------------------------------------------------------
m	772	682	0	0	0	0	1m	100	1	20355
m	571	558	0	0	0	0	1m	100	1	20354
m	250	1104	0	0	0	0	1m	100	1	20358
m	614	1167	0	0	0	0	1m	100	1	20357
m	898	797	0	0	0	0	1m	100	1	20084
// 이벤트용 NPC
m	864	823	0	0	0	0	1m	100	1	20086
m	854	827	0	0	0	0	1m	100	1	20087
//m	538	784	0	0	0	0	1m	100	1	20090

// over9제련 NPC
//m	657	686	0	0	0	0	1m	100	1	20094

m	615	564	0	0	0	3	1m	100	1	20001
m	598	674	0	0	0	2	1m	100	1	20089
//m	575	683	0	0	0	3	1m	100	1	20093
m	692	579	0	0	0	1	1m	100	1	20026 //Tienda de runa
