//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// 군직NPC
m	444	623	0	0	0	7	1m	100	1	20340
m	444	627	0	0	0	7	1m	100	1	20341
m	444	631	0	0	0	7	1m	100	1	20342
m	444	635	0	0	0	7	1m	100	1	20343

m	444	644	0	0	0	7	1m	100	1	20344
m	444	648	0	0	0	7	1m	100	1	20345
m	444	652	0	0	0	7	1m	100	1	20346
m	444	656	0	0	0	7	1m	100	1	20347
// 상점주인들
m	422	619	0	0	0	6	1m	100	1	20023 //Soon
m	430	609	0	0	0	8	1m	100	1	9001 //vendedor de armas
//m	431	608	0	0	0	8	1m	100	1	9007
m	403	586	0	0	0	1	1m	100	1	9002
//m	402	586	0	0	0	1	1m	100	1	9008
m	383	693	0	0	0	5	1m	100	1	9003
m	433	613	0	0	0	2	1m	100	1	9013 //Vendedor Tienda de Armas Especial
m	350	676	0	0	0	3	1m	100	1	20369
m	423	686	0	0	0	8	1m	100	1	20087
m	420	683	0	0	0	8	1m	100	1	20022
m	377	693	0	0	0	5	1m	100	1	20086 //Handu-Up
m	411	608	0	0	0	8	1m	100	1	20017
m	315	560	0	0	0	3	1m	100	1	9005
m	420	677	0	0	0	6	1m	100	1	9006 //Anciana
//m	440	690	0	0	0	8	1m	100	1	9004
m	369	693	0	0	0	5	1m	100	1	20016
m	340	753	0	0	0	7	1m	100	1	20503
m	340	744	0	0	0	7	1m	100	1	60003
m	340	749	0	0	0	7	1m	100	1	20504
m	372	694	0	0	0	5	1s	100	1	20091 //Seon-Pyeong
m	389	693	0	0	0	5	1m	100	1	20005
m	419	626	0	0	0	7	1m	100	1	20381
//m	295	642	0	0	0	3	1m	100	1	20094 //Hong-Hae
//m	294	639	0	0	0	3	1m	100	1	20024 //Harang
m	295	630	0	0	0	3	1m	100	1	20378
//m	295	644	0	0	0	3	1m	100	1	20006 //Mirine
m	295	636	0	0	0	3	1m	100	1	20090
m	295	646	0	0	0	3	1m	100	1	20377
m	295	633	0	0	0	3	1m	100	1	20092
//m	289	623	0	0	0	2	1m	100	1	20380 //Yon-I-Walker
m	293	623	0	0	0	2	1m	100	1	20018 //Baek-Go
//m	295	620	0	0	0	2	1m	100	1	20021 //Ariyoung
m	397	586	0	0	0	9	1m	100	1	20095 //Seon-Hae
// 어부들----------------------------------------------------------------------------
m	711	234	0	0	0	0	1m	100	1	9009
m	732	390	0	0	0	0	1m	100	1	9009
m	772	472	0	0	0	0	1m	100	1	9009
m	763	809	0	0	0	0	1m	100	1	9009
m	773	905	0	0	0	0	1m	100	1	9009
m	428	480	0	0	0	0	1m	100	1	9009
m	386	849	0	0	0	0	1m	100	1	9009
m	819	315	0	0	0	0	1m	100	1	9009
// NPC-------------------------------------------------------------------------------
m	396	735	0	0	0	2	1m	100	1	20349
//m	340	747	0	0	0	7	1m	100	1	20008
//m	454	530	0	0	0	0	1m	100	1	20023
//m	343	560	1	1	0	0	1m	100	1	20002
//m	378	577	0	0	0	0	1m	100	1	20003
//g	323	617	1	1	0	0	1m	100	1	11003
//m	292	718	1	1	0	0	1m	100	1	20005
//m	336	770	1	1	0	0	1m	100	1	20006
m	409	688	0	0	0	6	1m	100	1	20011 //Uriel
//g	383	740	1	1	0	0	1m	100	1	12007
// 워프----------------------------------------------------------------------------------
m	137	126	0	0	0	0	1m	100	1	10005
// 워프용 npc
//m	125	1118	0	0	0	4	1m	100	1	20009
//m	432	685	0	0	0	4	1m	100	1	9012
//m	396	1148	0	0	0	3	1m	100	1	10089

// 길드
m	383	640	0	0	0	0	1m	100	1	11004
m	367	617	0	0	0	0	1m	100	1	11005
// 근면의 훈장 이벤트용 NPC
m	323	617	0	0	0	0	1m	100	1	20041
// 다나까 -----------------------------------------------------------------------------------
// QuestNPC-------------------------------------------------------------------------------
m	337	628	0	0	0	2	1m	100	1	20355
m	468	714	0	0	0	1	1m	100	1	20354
m	771	78	0	0	0	0	1m	100	1	20358
m	114	960	0	0	0	0	1m	100	1	20357
m	285	285	0	0	0	0	1m	100	1	20084
// 이벤트용 NPC

// over9제련 NPC

m	321	735	0	0	0	3	1m	100	1	20001
m	413	658	0	0	0	6	1m	100	1	20089 //Pung-Ho
//m	295	648	0	0	0	3	1m	100	1	20093 //Koe-Pung
m	385	559	0	0	0	3	1m	100	1	20026 //Tienda de runa
