//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//Villo Blu
m	1715	1775	0	0	0	3	1m	100	1	9003
m	1724	1769	0	0	0	3	1m	100	1	20016
m	1715	1676	0	0	0	3	1m	100	1	9002
m	1719	1673	0	0	0	3	1m	100	1	20017
m	1730	1623	0	0	0	3	1m	100	1	9001
m	1411	1525	0	0	0	2	1m	100	1	9009

//Villo Giallo
m	266	258	0	0	0	3	1m	100	1	9003
m	258	265	0	0	0	3	1m	100	1	20016
m	298	341	0	0	0	3	1m	100	1	9002
m	303	338	0	0	0	3	1m	100	1	20017
m	259	313	0	0	0	3	1m	100	1	9001
m	385	343	0	0	0	3	1m	100	1	9009
m	952	392	0	0	0	5	1m	100	1	9009

//Villo Rosso
m	1693	549	0	0	0	3	1m	100	1	9003
m	1698	539	0	0	0	3	1m	100	1	20016
m	1653	486	0	0	0	3	1m	100	1	9002
m	1654	489	0	0	0	3	1m	100	1	20017
m	1625	467	0	0	0	3	1m	100	1	9001
m	1614	231	0	0	0	1	1m	100	1	9009
m	1445	451	0	0	0	1	1m	100	1	9009

//Villo Generale
m	1104	1091	0	0	0	3	1m	100	1	11000
m	1122	1126	0	0	0	3	1m	100	1	11001
m	1053	1093	0	0	0	3	1m	100	1	9003
m	1053	1101	0	0	0	3	1m	100	1	20016
m	1053	1086	0	0	0	3	1m	100	1	20091
m	1135	1035	0	0	0	1	1m	100	1	9001
m	1140	1035	0	0	0	1	1m	100	1	9013
m	1158	1052	0	0	0	6	1m	100	1	9002
m	1158	1056	0	0	0	1	1m	100	1	20017
m	1158	1081	0	0	0	7	1m	100	1	9009
m	1066	1034	0	0	0	1	1m	100	1	9006
m	1101	1147	0	0	0	5	1m	100	1	9005
m	1155	826	0	0	0	4	1m	100	1	20084
m	1112	996	0	0	0	0	1m	100	1	20011
m	1211	1278	0	0	0	6	1m	100	1	20005
m	1211	1264	0	0	0	6	1m	100	1	60003
m	1174	1264	0	0	0	3	1m	100	1	20381
m	1174	1242	0	0	0	3	1m	100	1	20095
m	1211	1246	0	0	0	7	1m	100	1	20022
m	1211	1229	0	0	0	7	1m	100	1	20087
m	1174	1226	0	0	0	3	1m	100	1	20024
m	1174	1213	0	0	0	3	1m	100	1	20018
m	1211	1212	0	0	0	7	1m	100	1	20094
m	1211	1199	0	0	0	7	1m	100	1	20086
m	1231	1159	0	0	0	6	1m	100	1	20092
m	1221	1177	0	0	0	6	1m	100	1	20090
m	1252	1145	0	0	0	6	1m	100	1	20001
m	1054	1067	0	0	0	3	1m	100	1	20503
m	1054	1059	0	0	0	3	1m	100	1	20504
m	1046	1220	0	0	0	2	1m	100	1	20349
m	1063	1145	0	0	0	6	1m	100	1	20369
m	915	1045	0	0	0	6	1m	100	1	9009
m	882	960	0	0	0	5	1m	100	1	9009
g	1036	1210	1	1	0	0	1m	100	1	12007

// Dottrine
m	1236	1037	0	0	0	8	1m	100	1	20300
m	1240	1037	0	0	0	8	1m	100	1	20301
m	1244	1037	0	0	0	8	1m	100	1	20302
m	1248	1037	0	0	0	8	1m	100	1	20303
m	1252	1037	0	0	0	8	1m	100	1	20304
m	1256	1037	0	0	0	8	1m	100	1	20305
m	1260	1037	0	0	0	8	1m	100	1	20306
m	1264	1037	0	0	0	8	1m	100	1	20307

// Comuni
m	1103	893	0	0	0	1	1m	100	1	20354

